Clapeyron Database File,,,,,,,
UNIFAC Unlike Parameters,,,,,,,
species1,SMILES1,species2,SMILES2,A,B,C,source
CH3~|~CH2~|~CH~|~C,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,189.66,-0.27232,0,
CH3~|~CH2~|~CH~|~C,,ACH~|~AC,,114.2,0.0933,0,
CH3~|~CH2~|~CH~|~C,,ACCH3~|~ACCH2~|~ACCH,,7.339,-0.4538,0,
CH3~|~CH2~|~CH~|~C,,OH (P)~|~OH (S)~|~OH (T),,2777,-4.674,0.001551,
CH3~|~CH2~|~CH~|~C,,CH3OH,,2409.4,-3.0099,0,
CH3~|~CH2~|~CH~|~C,,H2O,,1391.3,-3.6156,0.001144,
CH3~|~CH2~|~CH~|~C,,ACOH,,1381,-0.9977,0,
CH3~|~CH2~|~CH~|~C,,CH3CO~|~CH2CO,,433.6,0.1473,0,
CH3~|~CH2~|~CH~|~C,,CHO,,875.85,0,0,
CH3~|~CH2~|~CH~|~C,,CH3COO~|~CH2COO,,98.65601,1.9294,-0.0031331,
CH3~|~CH2~|~CH~|~C,,HCOO,,508.4,-0.6215,0,
CH3~|~CH2~|~CH~|~C,,CH3O~|~CH2O~|~CHO,,233.1,-0.3155,0,
CH3~|~CH2~|~CH~|~C,,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,-164.04,4.9683,-0.010252,
CH3~|~CH2~|~CH~|~C,,CH3NH~|~CH2NH~|~CHNH,,350.58,0.066729,0,
CH3~|~CH2~|~CH~|~C,,CH3N~|~CH2N,,-175.7,1.857,0,
CH3~|~CH2~|~CH~|~C,,ACNH2,,958.74,-0.14836,0,
CH3~|~CH2~|~CH~|~C,,AC2H2N~|~AC2HN~|~AC2N,,1802.3,-17.171,0.036,
CH3~|~CH2~|~CH~|~C,,CH3CN~|~CH2CN,,593.07,0.7335,0,
CH3~|~CH2~|~CH~|~C,,COOH,,1182.2,-3.2647,0.009198,
CH3~|~CH2~|~CH~|~C,,CH2CL~|~CHCL~|~CCL,,401,-0.72772,0,
CH3~|~CH2~|~CH~|~C,,CH2CL2~|~CHCL2~|~CCL2,,-233.66,1.2561,0,
CH3~|~CH2~|~CH~|~C,,CCL3,,-653.74,4.5311,-0.008735,
CH3~|~CH2~|~CH~|~C,,CCL4,,267.51,-1.7109,0.003388,
CH3~|~CH2~|~CH~|~C,,ACCL,,-1385,15.89,-0.04831,
CH3~|~CH2~|~CH~|~C,,CH3NO2~|~CH2NO2~|~CHNO2,,2345,-13.2,0.02156,
CH3~|~CH2~|~CH~|~C,,ACNO2,,2383,-2.693,0,
CH3~|~CH2~|~CH~|~C,,CS2,,24.33,1.521,0,
CH3~|~CH2~|~CH~|~C,,CH3SH~|~CH2SH,,465.9,-0.8557,0,
CH3~|~CH2~|~CH~|~C,,FURFURAL,,577.7,0.9384,0,
CH3~|~CH2~|~CH~|~C,,DOH,,897.7,0,0,
CH3~|~CH2~|~CH~|~C,,I,,559.9,-0.3564,0,
CH3~|~CH2~|~CH~|~C,,BR,,527.7,-0.499,0,
CH3~|~CH2~|~CH~|~C,,CH=-C~|~C=-C,,477.5,-0.6581,0,
CH3~|~CH2~|~CH~|~C,,DMSO,,-547.5,3.457,0,
CH3~|~CH2~|~CH~|~C,,ACRY,,1662,0,0,
CH3~|~CH2~|~CH~|~C,,CL-(C=C),,334.5,0.009102,0,
