Clapeyron Database File,,,,,
modified UNIFAC 2.0 (Dortmund) Unlike Parameters [csvtype = unlike,grouptype = UNIFACDortmund],,,,
species1,species2,A,B,C,source
CH3~|~CH2~|~CH~|~C,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,63.270508,-0.086421974,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACH~|~AC,150.53584,0.020484848,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACCH3~|~ACCH2~|~ACCH,28.874262,0.101933636,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,OH (P)~|~OH (S)~|~OH (T),1798.2177,-1.7760881,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3OH,1438.2358,-0.012913824,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,H2O,314.15445,0.19780475,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACOH,1045.7207,-0.23515527,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3CO~|~CH2CO,539.9737,-0.20296502,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,HCO,1070.7992,-0.7303668,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3COO~|~CH2COO,597.7041,-0.7466313,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,HCOO,622.25195,-1.204506,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3O~|~CH2O~|~CHO,212.1759,-0.47577313,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,710.71594,-0.86563164,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3NH~|~CH2NH~|~CHNH,608.31757,-0.87358314,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3N~|~CH2N,159.02162,0.010106635,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACNH2,1391.7844,-1.8451257,0,10.48550/arXiv.2412.12962
