Clapeyron estimator,,,,,,,
saturation_p_rhoL,,,,,,,
T,T_error,out_p,out_p_error,out_rhoL,out_rhoL_error,out_rhoV,out_rhoV_error
2.1768,,5039.3,,36480,,,
2.2768,,6382.1,,36433,,,
2.3768,,7951.9,,36346,,,
2.4768,,9768.8,,36228,,,
2.5768,,11852,,36086,,,
2.6768,,14221,,35923,,,
2.7768,,16896,,35741,,,
2.8768,,19894,,35543,,,
2.9768,,23235,,35329,,,
3.0768,,26938,,35100,,,
3.1768,,31021,,34855,,,
3.2768,,35502,,34594,,,
3.3768,,40401,,34318,,,
3.4768,,45736,,34024,,,
3.5768,,51526,,33713,,,
3.6768,,57789,,33383,,,
3.7768,,64546,,33032,,,
3.8768,,71816,,32659,,,
3.9768,,79620,,32260,,,
4.0768,,87980,,31834,,,
4.1768,,96917,,31375,,,
4.2768,,106460,,30880,,,
4.3768,,116620,,30341,,,
4.4768,,127450,,29750,,,
4.5768,,138960,,29094,,,
4.6768,,151190,,28357,,,
4.7768,,164190,,27512,,,
4.8768,,178010,,26514,,,
4.9768,,192690,,25281,,,
5.0768,,208330,,23612,,,
5.1768,,225070,,20441,,,
5.1768,,,,20441,,,
