Clapeyron Database File
Asymmetric parameters for mixing Multiparameter EoS [csvtype = unlike]
species1,species2,beta_v,gamma_v,beta_T,gamma_T,source
methane,nitrogen,0.998721377,1.013950311,0.998098830,0.979273013,10.1021/je300655b
methane,carbon dioxide,0.999518072,1.002806594,1.022624490,0.975665369,10.1021/je300655b
methane,ethane,0.997547866,1.006617867,0.996336508,1.049707697,10.1021/je300655b
methane,propane,1.004827070,1.038470657,0.989680305,1.098655531,10.1021/je300655b
methane,butane,0.979105972,1.045375122,0.994174910,1.171607691,10.1021/je300655b
methane,isobutane,1.011240388,1.054319053,0.980315756,1.161117729,10.1021/je300655b
methane,pentane,0.948330120,1.124508039,0.992127525,1.249173968,10.1021/je300655b
methane,isopentane,1.0,1.343685343,1.0,1.188899743,10.1021/je300655b
methane,hexane,0.958015294,1.052643846,0.981844797,1.330570181,10.1021/je300655b
methane,heptane,0.962050831,1.156655935,0.977431529,1.379850328,10.1021/je300655b
methane,octane,0.994740603,1.116549372,0.957473785,1.449245409,10.1021/je300655b
methane,nonane,1.002852287,1.141895355,0.947716769,1.528532478,10.1021/je300655b
methane,decane,1.033086292,1.146089637,0.937777823,1.568231489,10.1021/je300655b
methane,hydrogen,1.0,1.018702573,1.0,1.352643115,10.1021/je300655b
methane,oxygen,1.0,1.0,1.0,0.950000000,10.1021/je300655b
methane,carbon monoxide,0.997340772,1.006102927,0.987411732,0.987473033,10.1021/je300655b
methane,water,1.012783169,1.585018334,1.063333913,0.775810513,10.1021/je300655b
methane,hydrogen sulfide,1.012599087,1.040161207,1.011090031,0.961155729,10.1021/je300655b
methane,helium,1.0,0.881405683,1.0,3.159776855,10.1021/je300655b
methane,argon,1.034630259,1.014678542,0.990954281,0.989843388,10.1021/je300655b
nitrogen,carbon dioxide,0.977794634,1.047578256,1.005894529,1.107654104,10.1021/je300655b
nitrogen,ethane,0.978880168,1.042352891,1.007671428,1.098650964,10.1021/je300655b
nitrogen,propane,0.974424681,1.081025408,1.002677329,1.201264026,10.1021/je300655b
nitrogen,butane,0.996082610,1.146949309,0.994515234,1.304886838,10.1021/je300655b
nitrogen,isobutane,0.986415830,1.100576129,0.992868130,1.284462634,10.1021/je300655b
nitrogen,pentane,1.0,1.078877166,1.0,1.419029041,10.1021/je300655b
nitrogen,isopentane,1.0,1.154135439,1.0,1.381770770,10.1021/je300655b
nitrogen,hexane,1.0,1.195952177,1.0,1.472607971,10.1021/je300655b
nitrogen,heptane,1.0,1.404554090,1.0,1.520975334,10.1021/je300655b
nitrogen,octane,1.0,1.186067025,1.0,1.733280051,10.1021/je300655b
nitrogen,nonane,1.0,1.100405929,0.956379450,1.749119996,10.1021/je300655b
nitrogen,decane,1.0,1.0,0.957934447,1.822157123,10.1021/je300655b
nitrogen,hydrogen,0.972532065,0.970115357,0.946134337,1.175696583,10.1021/je300655b
nitrogen,carbon monoxide,1.0,1.008690943,1.0,0.993425388,10.1021/je300655b
nitrogen,water,1.0,1.094749685,1.0,0.968808467,10.1021/je300655b
nitrogen,oxygen,0.999521770,0.997082328,0.997190589,0.995157044,10.1021/je300655b
nitrogen,hydrogen sulfide,0.910394249,1.256844157,1.004692366,0.960174200,10.1021/je300655b
nitrogen,helium,0.969501055,0.932629867,0.692868765,1.471831580,10.1021/je300655b
nitrogen,argon,1.004166412,1.002212182,0.999069843,0.990034831,10.1021/je300655b
carbon dioxide,ethane,1.002525718,1.032876701,1.013871147,0.900949530,10.1021/je300655b
carbon dioxide,propane,0.996898004,1.047596298,1.033620538,0.908772477,10.1021/je300655b
carbon dioxide,butane,1.174760923,1.222437324,1.018171004,0.911498231,10.1021/je300655b
carbon dioxide,isobutane,1.076551882,1.081909003,1.023339824,0.929982936,10.1021/je300655b
carbon dioxide,pentane,1.024311498,1.068406078,1.027000795,0.979217302,10.1021/je300655b
carbon dioxide,isopentane,1.060793104,1.116793198,1.019180957,0.961218039,10.1021/je300655b
carbon dioxide,hexane,1.0,0.851343711,1.0,1.038675574,10.1021/je300655b
carbon dioxide,heptane,1.205469976,1.164585914,1.011806317,1.046169823,10.1021/je300655b
carbon dioxide,octane,1.026169373,1.104043935,1.029690780,1.074455386,10.1021/je300655b
carbon dioxide,nonane,1.0,0.973386152,1.007688620,1.140671202,10.1021/je300655b
carbon dioxide,decane,1.000151132,1.183394668,1.020028790,1.145512213,10.1021/je300655b
carbon dioxide,hydrogen,0.904142159,1.152792550,0.942320195,1.782924792,10.1021/je300655b
carbon dioxide,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon dioxide,carbon monoxide,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon dioxide,water,0.949055959,1.542328793,0.997372205,0.775453996,10.1021/je300655b
carbon dioxide,hydrogen sulfide,0.906630564,1.024085837,1.016034583,0.926018880,10.1021/je300655b
carbon dioxide,helium,0.846647561,0.864141549,0.768377630,3.207456948,10.1021/je300655b
carbon dioxide,argon,1.008392428,1.029205465,0.996512863,1.050971635,10.1021/je300655b
ethane,propane,0.997607277,1.003034720,0.996199694,1.014730190,10.1021/je300655b
ethane,butane,0.999157205,1.006179146,0.999130554,1.034832749,10.1021/je300655b
ethane,isobutane,1.0,1.006616886,1.0,1.033283811,10.1021/je300655b
ethane,pentane,0.993851009,1.026085655,0.998688946,1.066665676,10.1021/je300655b
ethane,isopentane,1.0,1.045439935,1.0,1.021150247,10.1021/je300655b
ethane,hexane,1.0,1.169701102,1.0,1.092177796,10.1021/je300655b
ethane,heptane,1.0,1.057666085,1.0,1.134532014,10.1021/je300655b
ethane,octane,1.007469726,1.071917985,0.984068272,1.168636194,10.1021/je300655b
ethane,nonane,1.0,1.143534730,1.0,1.056033030,10.1021/je300655b
ethane,decane,0.995676258,1.098361281,0.970918061,1.237191558,10.1021/je300655b
ethane,hydrogen,0.925367171,1.106072040,0.932969831,1.902008495,10.1021/je300655b
ethane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,carbon monoxide,1.0,1.201417898,1.0,1.069224728,10.1021/je300655b
ethane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,hydrogen sulfide,1.010817909,1.030988277,0.990197354,0.902736660,10.1021/je300655b
ethane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
propane,butane,0.999795868,1.003264179,1.000310289,1.007392782,10.1021/je300655b
propane,isobutane,0.999243146,1.001156119,0.998012298,1.005250774,10.1021/je300655b
propane,pentane,1.044919431,1.019921513,0.996484021,1.008344412,10.1021/je300655b
propane,isopentane,1.040459289,0.999432118,0.994364425,1.003269500,10.1021/je300655b
propane,hexane,1.0,1.057872566,1.0,1.025657518,10.1021/je300655b
propane,heptane,1.0,1.079648053,1.0,1.050044169,10.1021/je300655b
propane,octane,1.0,1.102764612,1.0,1.063694129,10.1021/je300655b
propane,nonane,1.0,1.199769134,1.0,1.109973833,10.1021/je300655b
propane,decane,0.984104227,1.053040574,0.985331233,1.140905252,10.1021/je300655b
propane,hydrogen,1.0,1.074006110,1.0,2.308215191,10.1021/je300655b
propane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
propane,carbon monoxide,1.0,1.108143673,1.0,1.197564208,10.1021/je300655b
propane,water,1.0,1.011759763,1.0,0.600340961,10.1021/je300655b
propane,hydrogen sulfide,0.936811219,1.010593999,0.992573556,0.905829247,10.1021/je300655b
propane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
propane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
butane,isobutane,1.000880464,1.000414440,1.000077547,1.001432824,10.1021/je300655b
butane,pentane,1.0,1.018159650,1.0,1.002143640,10.1021/je300655b
butane,isopentane,1.0,1.002728434,1.0,1.000792201,10.1021/je300655b
butane,hexane,1.0,1.034995284,1.0,1.009157060,10.1021/je300655b
butane,heptane,1.0,1.019174227,1.0,1.021283378,10.1021/je300655b
butane,octane,1.0,1.046905515,1.0,1.033180106,10.1021/je300655b
butane,nonane,1.0,1.049219137,1.0,1.014096448,10.1021/je300655b
butane,decane,0.976951968,1.027845529,0.993688386,1.076466918,10.1021/je300655b
butane,hydrogen,1.0,1.232939523,1.0,2.509259945,10.1021/je300655b
butane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
butane,carbon monoxide,1.0,1.084740904,1.0,1.173916162,10.1021/je300655b
butane,water,1.0,1.223638763,1.0,0.615512682,10.1021/je300655b
butane,hydrogen sulfide,0.908113163,1.033366041,0.985962886,0.926156602,10.1021/je300655b
butane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
butane,argon,1.0,1.214638734,1.0,1.245039498,10.1021/je300655b
isobutane,pentane,1.0,1.002779804,1.0,1.002495889,10.1021/je300655b
isobutane,isopentane,1.0,1.002284353,1.0,1.001835788,10.1021/je300655b
isobutane,hexane,1.0,1.010493989,1.0,1.006018054,10.1021/je300655b
isobutane,heptane,1.0,1.021668316,1.0,1.009885760,10.1021/je300655b
isobutane,octane,1.0,1.032807063,1.0,1.013945424,10.1021/je300655b
isobutane,nonane,1.0,1.047298475,1.0,1.017817492,10.1021/je300655b
isobutane,decane,1.0,1.060243344,1.0,1.021624748,10.1021/je300655b
isobutane,hydrogen,1.0,1.147595688,1.0,1.895305393,10.1021/je300655b
isobutane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane,carbon monoxide,1.0,1.087272232,1.0,1.161390082,10.1021/je300655b
isobutane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane,hydrogen sulfide,1.012994431,0.988591117,0.974550548,0.937130844,10.1021/je300655b
isobutane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane,isopentane,1.0,1.000024335,1.0,1.000050537,10.1021/je300655b
pentane,hexane,1.0,1.002480637,1.0,1.000761237,10.1021/je300655b
pentane,heptane,1.0,1.008972412,1.0,1.002441051,10.1021/je300655b
pentane,octane,1.0,1.069223964,1.0,1.016422347,10.1021/je300655b
pentane,nonane,1.0,1.034910633,1.0,1.103421755,10.1021/je300655b
pentane,decane,1.0,1.016370338,1.0,1.049035838,10.1021/je300655b
pentane,hydrogen,1.0,1.188334783,1.0,2.013859174,10.1021/je300655b
pentane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane,carbon monoxide,1.0,1.119954454,1.0,1.206043295,10.1021/je300655b
pentane,water,1.0,0.956677310,1.0,0.447666011,10.1021/je300655b
pentane,hydrogen sulfide,0.984613203,1.076539234,0.962006651,0.959065662,10.1021/je300655b
pentane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane,hexane,1.0,1.002995876,1.0,1.001204174,10.1021/je300655b
isopentane,heptane,1.0,1.009928206,1.0,1.003194615,10.1021/je300655b
isopentane,octane,1.0,1.017880545,1.0,1.005647480,10.1021/je300655b
isopentane,nonane,1.0,1.028994325,1.0,1.008191499,10.1021/je300655b
isopentane,decane,1.0,1.039372957,1.0,1.010825138,10.1021/je300655b
isopentane,hydrogen,1.0,1.184340443,1.0,1.996386669,10.1021/je300655b
isopentane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane,carbon monoxide,1.0,1.116694577,1.0,1.199326059,10.1021/je300655b
isopentane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane,hydrogen sulfide,1.0,0.835763343,1.0,0.982651529,10.1021/je300655b
isopentane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane,heptane,1.0,1.001508227,1.0,0.999762786,10.1021/je300655b
hexane,octane,1.0,1.006268954,1.0,1.001633952,10.1021/je300655b
hexane,nonane,1.0,1.020761680,1.0,1.055369591,10.1021/je300655b
hexane,decane,1.001516371,1.013511439,0.997641010,1.028939539,10.1021/je300655b
hexane,hydrogen,1.0,1.243461678,1.0,3.021197546,10.1021/je300655b
hexane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane,carbon monoxide,1.0,1.155145836,1.0,1.233272781,10.1021/je300655b
hexane,water,1.0,1.170217596,1.0,0.569681333,10.1021/je300655b
hexane,hydrogen sulfide,0.754473958,1.339283552,0.985891113,0.956075596,10.1021/je300655b
hexane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane,octane,1.0,1.006767176,1.0,0.998793111,10.1021/je300655b
heptane,nonane,1.0,1.001370076,1.0,1.001150096,10.1021/je300655b
heptane,decane,1.0,1.002972346,1.0,1.002229938,10.1021/je300655b
heptane,hydrogen,1.0,1.159131722,1.0,3.169143057,10.1021/je300655b
heptane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane,carbon monoxide,1.0,1.190354273,1.0,1.256123503,10.1021/je300655b
heptane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane,hydrogen sulfide,0.828967164,1.087956749,0.988937417,1.013453092,10.1021/je300655b
heptane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
octane,nonane,1.0,1.001357085,1.0,1.000235044,10.1021/je300655b
octane,decane,1.0,1.002553544,1.0,1.007186267,10.1021/je300655b
octane,hydrogen,1.0,1.305249405,1.0,2.191555216,10.1021/je300655b
octane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
octane,carbon monoxide,1.0,1.219206702,1.0,1.276565536,10.1021/je300655b
octane,water,1.0,0.599484191,1.0,0.662072469,10.1021/je300655b
octane,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
octane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
octane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane,decane,1.0,1.000810520,1.0,1.000182392,10.1021/je300655b
nonane,hydrogen,1.0,1.342647661,1.0,2.234354040,10.1021/je300655b
nonane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane,carbon monoxide,1.0,1.252151449,1.0,1.294070556,10.1021/je300655b
nonane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane,hydrogen sulfide,1.0,1.082905109,1.0,1.086557826,10.1021/je300655b
nonane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
decane,hydrogen,1.695358382,1.120233729,1.064818089,3.786003724,10.1021/je300655b
decane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
decane,carbon monoxide,1.0,0.870184960,1.049594632,1.803567587,10.1021/je300655b
decane,water,1.0,0.551405318,0.897162268,0.740416402,10.1021/je300655b
decane,hydrogen sulfide,0.975187766,1.171714677,0.973091413,1.103693489,10.1021/je300655b
decane,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
decane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,carbon monoxide,1.0,1.121416201,1.0,1.377504607,10.1021/je300655b
hydrogen,water,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,carbon monoxide,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,water,1.0,1.143174289,1.0,0.964767932,10.1021/je300655b
oxygen,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,argon,0.999746847,0.993907223,1.000023103,0.990430423,10.1021/je300655b
carbon monoxide,water,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,hydrogen sulfide,0.795660392,1.101731308,1.025536736,1.022749748,10.1021/je300655b
carbon monoxide,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,argon,1.0,1.159720623,1.0,0.954215746,10.1021/je300655b
water,hydrogen sulfide,1.0,1.014832832,1.0,0.940587083,10.1021/je300655b
water,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
water,argon,1.0,1.038993495,1.0,1.070941866,10.1021/je300655b
hydrogen sulfide,helium,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen sulfide,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
helium,argon,1.0,1.0,1.0,1.0
