Clapeyron Database File
Empiric departure Parameters for multiparameter EoS [csvtype = unlike,sep = ;]
species1;species2;F;source;parameters
carbon dioxide;r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene;-0.657;;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
carbon dioxide;r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene;-0.084;;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
r1123~|~trifluoroethene~|~trifluoroethylene;r32~|~difluoromethane;-0.277708;;[{"l":[0.0,0.0],"n":[0.28661625028399,-0.10919833861247],"d":[2.0,3.0],"type":"ResidualHelmholtzPower","t":[1.85,1.4]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[-1.137403208227,0.76580544237358,0.0042638000926819,0.17673538204534],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[3.2,2.5,8.0,3.75]}]
carbon dioxide;water;1.0;10.1016/j.jct.2015.05.015;[{"type":"ResidualHelmholtzPower","n":[0.39440467,-1.7634732,0.14620755,0.008752232,2.0349398,-0.09035025,-0.21638854,0.03961217],"t":[0.88,2.932,2.433,1.33,4.416,5.514,5.203,1.0],"d":[1.0,1.0,3.0,0.0,2.0,3.0,1.0,5.0],"l":[0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0]}]
carbon dioxide;nitrogen;1.0;10.1016/j.jct.2015.05.015;[{"l":[0.0,0.0],"n":[0.28661625028399,-0.10919833861247],"d":[2.0,3.0],"type":"ResidualHelmholtzPower","t":[1.85,1.4]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[-1.137403208227,0.76580544237358,0.0042638000926819,0.17673538204534],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[3.2,2.5,8.0,3.75]}]
carbon dioxide;argon;1.0;10.1016/j.jct.2015.05.015;[{"l":[0.0,0.0],"n":[2.0,3.0],"d":[0.20483577,-0.11465124],"type":"ResidualHelmholtzPower","t":[2.194,1.743]},{"beta":[0.75,1.0,1.05,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[1.0,1.0,1.0,2.0],"d":[-2.31517,2.3523617,-0.66835959,-0.053016558],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[2.47,1.977,1.207,0.796]}]
water;nitrogen;1.0;10.1016/j.jct.2015.05.015;[{"type":"ResidualHelmholtzPower","n":[4.0142079,-1.1573939,-7.2102425,-5.3251223,-2.2155867],"t":[0.547,0.055,1.925,0.552,1.0],"d":[1.0,1.0,1.0,2.0,4.0],"l":[0.0,1.0,1.0,1.0,1.0]}]
water;oxygen;0.6017;10.1016/j.jct.2015.05.015;[{"type":"ResidualHelmholtzPower","n":[4.0142079,-1.1573939,-7.2102425,-5.3251223,-2.2155867],"t":[0.547,0.055,1.925,0.552,1.0],"d":[1.0,1.0,1.0,2.0,4.0],"l":[0.0,1.0,1.0,1.0,1.0]}]
water;carbon monoxide;0.9897;10.1016/j.jct.2015.05.015;[{"type":"ResidualHelmholtzPower","n":[4.0142079,-1.1573939,-7.2102425,-5.3251223,-2.2155867],"t":[0.547,0.055,1.925,0.552,1.0],"d":[1.0,1.0,1.0,2.0,4.0],"l":[0.0,1.0,1.0,1.0,1.0]}]
methane;nitrogen;1.0;10.1021/je300655b;[{"l":[0.0,0.0],"n":[-0.0098038985517335,0.00042487270143005],"d":[1.0,4.0],"type":"ResidualHelmholtzPower","t":[0.0,1.85]},{"beta":[1.0,1.0,2.5,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.034800214576142,-0.13333813013896,-0.011993694974627,0.069243379775168,-0.31022508148249,0.24495491753226,0.22369816716981],"d":[1.0,2.0,2.0,2.0,2.0,2.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,0.25,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[7.85,5.4,0.0,0.75,2.8,4.45,4.25]}]
