Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
species1,species2,epsilon,lambda_r,source
CH3,CH2,350.77,,
CH3,CH,387.48,,
CH3,C,339.91,,
CH3,aCH,305.81,,
CH3,aCCH2,396.91,,
CH3,aCCH,455.85,,
CH3,CH2=,333.48,,
CH3,CH=,252.41,,
CH3,cCH2,355.95,,
CH3,COOH,255.99,,
CH3,CH3COCH3,233.48,14.449,
CH3,COO,402.75,,
CH3,H2O,358.18,100,
CH3,CH3OH,275.76,15.537,
CH3,CH4,193.97,12.628,
CH3,CO2,205.7,,
CH3,OH,314.67,,
CH3,CH2OH,333.2,,
CH3,CHOH,479.38,,
CH3,NH2,244.15,,
CH3,NH,530.87,,
CH3,N+,462.18,,
CH3,cNH,583.72,,
CH3,cN,710,,
CH3,C=,281.4,,
CH3,aCCH3,358.58,,
CH3,aCOH,413.25,,
CH3,cCH,690.17,,
CH3,cCHNH,406.97,,
CH3,cCHN,761.79,,
CH3,aCCOOH,370.75,,
CH3,aCNHaC,647.64,,
CH3,CH3CO,344.57,,
CH3,[CH3][OCH2],301.77,,
CH3,[CH2][OCH2],261.63,,
CH2,CH,506.21,,
CH2,C,300.07,,
CH2,aCH,415.64,,
CH2,aCCH2,454.16,,
CH2,aCCH,345.8,,
CH2,CH2=,386.8,,
CH2,CH=,459.4,,
CH2,cCH2,469.67,,
CH2,COOH,413.74,,
CH2,CH3COCH3,299.48,11.594,
CH2,COO,498.86,,
CH2,H2O,423.63,100,
CH2,CH3OH,341.41,17.05,
CH2,CH4,243.13,12.642,
CH2,CO2,276.45,,
CH2,OH,396.27,,
CH2,CH2OH,423.17,,
CH2,CHOH,517.64,,
CH2,NH2,348.39,,
CH2,NH,394.58,,
CH2,N+,348.3,,
CH2,cNH,429.49,,
CH2,cN,508.54,,
CH2,C=,286.58,,
CH2,aCCH3,569.18,,
CH2,aCOH,484.02,,
CH2,cCH,522.57,,
CH2,cCHNH,309.95,,
CH2,cCHN,893.5,,
CH2,aCCOOH,323.72,,
CH2,aCNHaC,347.75,,
CH2,CH3CO,431.49,,
CH2,[CH3][OCH2],408.05,,
CH2,[CH2][OCH2],353.78,,
CH,C,2,,
CH,aCH,441.43,,
CH,aCCH2,65.41,,
CH,aCCH,67.51,,
CH,CH2=,426.76,,
CH,CH=,502.99,,
CH,cCH2,570.45,,
CH,COOH,504.99,,
CH,CH3COCH3,637.29,,
CH,COO,353.65,,
CH,H2O,275.75,,
CH,OH,198.08,,
CH,CH2OH,329.22,,
CH,CHOH,0,,
CH,C=,378.72,,
CH,aCCOOH,0,,
CH,aCNHaC,878.88,,
CH,CH3CO,321.91,,
C,cCH2,0,,
C,COO,0,,
C,H2O,420.82,,
C,OH,0,,
C,CH2OH,0,,
C,CHOH,0,,
aCH,aCCH2,416.69,,
aCH,aCCH,429.16,,
aCH,COOH,331.61,9.0687,
aCH,CH3COCH3,333.11,,
aCH,H2O,357.78,38.64,
aCH,CH2OH,386.05,,
aCH,CHOH,512.16,,
aCH,aCCH3,471.23,,
aCH,aCOH,448.75,,
aCH,aCCOOH,340.7,,
aCH,aCNHaC,549.72,,
aCH,CH3CO,426.72,18.03,
aCCH2,aCCH,462.04,,
aCCH2,COOH,473.66,,
aCCH2,CH3COCH3,394.83,,
aCCH2,H2O,329.03,,
aCCH2,CH2OH,434.37,,
aCCH2,CHOH,357.91,,
aCCH2,aCCOOH,168.69,,
aCCH2,CH3CO,663.71,30.712,
aCCH,COOH,599.28,,
aCCH,CH3COCH3,459.22,,
aCCH,H2O,314.03,,
aCCH,CH2OH,436.14,,
aCCH,CHOH,138.39,,
CH2=,CH=,275.75,,
CH2=,CH3COCH3,288.2,,
CH2=,H2O,387.25,94.463,
CH2=,CH2OH,375.51,,
CH2=,CHOH,449.83,,
CH2=,C=,203.76,,
CH,cCH2,398.35,,
CH,COOH,453.13,,
CH,CH3COCH3,437.75,,
CH,COO,818.79,,
CH,H2O,332.21,17.309,
CH,OH,625.17,,
CH,CH2OH,414.91,,
CH,CHOH,540.83,,
CH,C=,1195.3,,
cCH2,CH3COCH3,352.19,,
cCH2,COO,498.6,,
cCH2,H2O,350.99,28,
cCH2,CO2,269.68,,
cCH2,OH,376.57,,
cCH2,CHOH,554.5,,
cCH2,NH2,332.15,,
cCH2,NH,549.43,,
cCH2,N+,650.24,,
cCH2,cNH,605.45,,
cCH2,cN,536.66,,
cCH2,C=,846.19,,
cCH2,cCH,321.71,,
cCH2,cCHNH,486.88,,
cCH2,cCHN,750.06,,
cCH2,aCCOOH,389.9,,
cCH2,aCNHaC,564.85,,
COOH,CH3COCH3,393.71,,
COOH,H2O,289.76,,
COOH,CH2OH,488.18,,
COOH,C=,609.87,,
CH3COCH3,COO,547.44,,
CH3COCH3,H2O,287.26,,
CH3COCH3,OH,340.81,,
CH3COCH3,CH2OH,338.47,,
CH3COCH3,CHOH,340.81,,
CH3COCH3,C=,516.31,,
CH3COCH3,aCOH,389.74,,
CH3COCH3,aCCOOH,316.6,,
CH3COCH3,aCNHaC,261.23,8,
COO,H2O,396.81,15.14,
COO,OH,490.95,,
COO,C=,868.11,,
COO,aCCOOH,331.78,,
COO,aCNHaC,809.96,,
H2O,CH3OH,278.45,,
H2O,CH4,175.41,,
H2O,CO2,226.38,,
H2O,OH,375.92,,
H2O,CH2OH,353.37,,
H2O,CHOH,479.16,,
H2O,NH2,358.55,,
H2O,NH,646.1,13.195,
H2O,N+,1481.3,21.217,
H2O,cNH,523.83,8.4243,
H2O,cN,2990,66.109,
H2O,C=,310.91,8,
H2O,aCCH3,360.7,,
H2O,aCOH,238.77,8,
H2O,cCH,377.16,22.265,
H2O,cCHNH,855.01,32.132,
H2O,cCHN,1067.9,8.001,
H2O,aCCOOH,228.58,9.5614,
CH3OH,CH4,233.21,,
CH3OH,CO2,157.83,8.3462,
CH3OH,aCCOOH,290.16,8,
CH3OH,aCNHaC,398.1,,
CH4,CO2,144.72,11.95,
CH4,[CH3][OCH2],210.13,,
CH4,[CH2][OCH2],182.18,,
CO2,NH2,200.62,49.975,
CO2,NH,100.01,49.529,
CO2,N+,100.58,49.999,
CO2,cNH,80.101,39.706,
CO2,cN,90.102,35.343,
CO2,cCH,294.99,,
CO2,cCHNH,100.53,31.234,
CO2,[CH3][OCH2],327.31,,
CO2,[CH2][OCH2],283.78,,
OH,NH2,241.94,,
OH,NH,188.61,,
OH,N+,260.99,,
OH,C=,784.51,,
CH2OH,CHOH,389.23,,
CH2OH,NH2,528.21,52.305,
CH2OH,NH,313.25,,
CH2OH,N+,440.99,,
CH2OH,C=,799.66,,
CH2OH,aCCH3,486.62,,
CH2OH,aCOH,307.89,41.331,
CH2OH,aCCOOH,172.57,9.2665,
CH2OH,aCNHaC,485.03,8.0012,
CHOH,C=,245.07,,
CHOH,aCCH3,762.86,,
CHOH,aCCOOH,81.542,79.266,
