Clapeyron Database File,,,
original UNIFAC 2.0 Unlike Parameters [csvtype = unlike,grouptype = originalUNIFAC],,
species1,species2,A,source
CH3~|~CH2~|~CH~|~C,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,28.47801,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACH~|~AC,11.666349,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACCH3~|~ACCH2~|~ACCH,5.349347,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,OH,936.8214,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3OH,873.1758,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,H2O,1372.9816,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACOH,1466.4441,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3CO~|~CH2CO,432.58057,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,HCO,706.6574,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3COO~|~CH2COO,273.29172,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,HCOO,481.897,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3O~|~CH2O~|~CHO~|~THF,224.368,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3NH2~|~CH2NH2~|~CHNH2,384.34326,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3NH~|~CH2NH~|~CHNH,300.6897,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3N~|~CH2N,343.4417,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACNH2,1020.5982,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,C5H5N~|~C5H4N~|~C5H3N,277.79736,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3CN~|~CH2CN,666.8363,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,COOH~|~HCOOH,470.64224,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH2CL~|~CHCL~|~CCL,195.55505,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH2CL2~|~CHCL2~|~CCL2,151.44415,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CHCL3~|~CCL3,33.240677,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CCL4,7.720969,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACCL,84.26012,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3NO2~|~CH2NO2~|~CHNO2,536.3646,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACNO2,589.7142,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CS2,115.75882,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3SH~|~CH2SH,159.96141,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,FURFURAL,268.41992,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,DOH,949.6067,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,I,386.84116,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,BR,415.27515,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH=-C~|~C=-C,218.06027,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,DMSO,300.06033,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACRY,290.1138,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CL-(C=C),7.6714826,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,ACF,106.25305,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,DMF~|~HCON(..,308.04828,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CF3~|~CF2~|~CF,52.72881,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,COO,553.95483,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,SIH3~|~SIH2~|~SIH~|~SI,-400.1033,10.1016/j.cej.2024.158667
