Clapeyron Database File,,,,,
VTPR Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,B,C,source
CH3~|~CH2~|~CH~|~C,,ACCH3~|~ACCH2~|~ACCH,,17.268,-0.00698,0,
CH3~|~CH2~|~CH~|~C,,ACOH,,2115.5,-2.2215,0,
CH3~|~CH2~|~CH~|~C,,CHO,,757.96,-0.0334,0,
CH3~|~CH2~|~CH~|~C,,HCOO,,830.11,-1.2681,0.00158,
CH3~|~CH2~|~CH~|~C,,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,730.43,-0.6955,0,
CH3~|~CH2~|~CH~|~C,,CH3NH~|~CH2NH~|~CHNH,,922.8,-2.9738,0.00405,
CH3~|~CH2~|~CH~|~C,,CH3N~|~CH2N,,396.37,-1.0038,0,
CH3~|~CH2~|~CH~|~C,,ACNH2,,1952.3,-2.5405,0.000257,
CH3~|~CH2~|~CH~|~C,,CH2CL2~|~CHCL2~|~CCL2,,128.83,0.5394,0,
CH3~|~CH2~|~CH~|~C,,CCL3,,109.47,0.3785,0,
CH3~|~CH2~|~CH~|~C,,CCL4,,36.332,0.1693,0.000199,
CH3~|~CH2~|~CH~|~C,,CS2,,169.04,0,0,
CH3~|~CH2~|~CH~|~C,,Furfural,,530.78,0.2864,0,
CH3~|~CH2~|~CH~|~C,,DOH,,507.15,0,0,
CH3~|~CH2~|~CH~|~C,,I,,334.28,0.6705,0,
CH3~|~CH2~|~CH~|~C,,Br,,551.42,0.3563,0,
CH3~|~CH2~|~CH~|~C,,DMSO,,671.8,-0.083,0,
CH3~|~CH2~|~CH~|~C,,DMF~|~HCON(..,,-20.332,0.8262,-0.000246,
CH3~|~CH2~|~CH~|~C,,THF~|~cy-CH2O~|~Trioxane,,186.67,-0.1226,0,
CH3~|~CH2~|~CH~|~C,,CHCL3,,129.02,0.2877,0,
CH3~|~CH2~|~CH~|~C,,NMP~|~NEP~|~NIPP~|~NTBP,,207.04,0.0621,0,
CH3~|~CH2~|~CH~|~C,,H2COCH~COCH~|~HCOCH~|~H2COH2~|~H2COC,,455.32,-1.0285,0.000343,
