Clapeyron Database File,,,,,,,,
sPCSAFT Assoc Parameters,,,,,,,,
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source
methanol,CO,H,methanol,CO,e,2090.2,0.146,10.1021/ie020753p
ethanol,CCO,H,ethanol,CCO,e,2653.4,0.032384,10.1021/ie010954d
propanol~|~1-propanol~|~propan-1-ol,CCCO,H,propanol~|~1-propanol~|~propan-1-ol,CCCO,e,2276.8,0.015268,10.1021/ie010954d
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,H,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,e,2544.6,0.006692,10.1021/ie010954d
1-pentanol~|~pentan-1-ol,CCCCCO,H,1-pentanol~|~pentan-1-ol,CCCCCO,e,2252.1,0.010319,10.1021/ie010954d
1-hexanol~|~hexan-1-ol,CCCCCCO,H,1-hexanol~|~hexan-1-ol,CCCCCCO,e,2538.9,0.005747,10.1021/ie010954d
1-heptanol~|~heptan-1-ol,CCCCCCCO,H,1-heptanol~|~heptan-1-ol,CCCCCCCO,e,2878.5,0.001155,10.1021/ie010954d
1-octanol~|~octan-1-ol,CCCCCCCCO,H,1-octanol~|~octan-1-ol,CCCCCCCCO,e,2754.8,0.002197,10.1021/ie010954d
1-nonanol~|~nonan-1-ol,CCCCCCCCCO,H,1-nonanol~|~nonan-1-ol,CCCCCCCCCO,e,2941.9,0.001427,10.1021/ie010954d
2-propanol~|~propan-2-ol~|~isopropanol,CC(O)C,H,2-propanol~|~propan-2-ol~|~isopropanol,CC(O)C,e,2253.9,0.024675,10.1021/ie010954d
2-methyl-2-butanol~|~2-methylbutan-2-ol,CC(O)(C)CC,H,2-methyl-2-butanol~|~2-methylbutan-2-ol,CC(O)(C)CC,e,2618.8,0.001863,10.1021/ie010954d
water,O,H,water,O,e,2500.7,0.034868,10.1021/ie010954d
methylamine~|~methanamine,CN,H,methylamine~|~methanamine,CN,e,684.3,0.095103,10.1021/ie010954d
ethylamine~|~ethanamine,CCN,H,ethylamine~|~ethanamine,CCN,e,854.7,0.017275,10.1021/ie010954d
propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,CCCN,H,propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,CCCN,e,1028.1,0.022674,10.1021/ie010954d
2-propylamine~|~2-propanamine~|~isopropylamine,CC(N)C,H,2-propylamine~|~2-propanamine~|~isopropylamine,CC(N)C,e,932.2,0.02134,10.1021/ie010954d
aniline,,H,aniline,,e,1351.6,0.074883,10.1021/ie010954d
acetic acid,CC(=O)O,H,acetic acid,CC(=O)O,e,3044.4,0.07555,10.1021/ie010954d
