Clapeyron Database File
PCPSAFT Like Parameters; Esper et al. (2023) [csvtype = like]
species,Mw,segment,sigma,epsilon,dipole,n_a,n_b,source,type,bounds_violation
ethanal~|~acetaldehyde,44.026,2.14028,3.22662,227.62099,2.69,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acetamide~|~ethanamide,59.037,2.82648,3.12045,377.67175,0.0,1,2,,ASSOCIATIVE,OK
acetonitrile,41.027,2.32567,3.16425,207.70403,3.92,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acetone~|~propanone,58.042,2.78618,3.24884,231.11777,2.88,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",60.069,3.97041,2.82526,251.77698,0.0,2,2,,ASSOCIATIVE,OK
"1,2-dibromoethane",185.868,2.59098,3.5717,323.70316,1.0,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
bromoethane~|~ethyl bromide,107.957,2.16801,3.52926,266.03019,2.03,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"glycol~|~1,2-ethanediol~|~ethylene glycol",62.037,1.71084,3.73481,354.18312,0.0,2,2,,ASSOCIATIVE,OK
iodoethane~|~ethyl iodide,155.944,1.94206,3.82267,319.63872,1.91,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethanol,46.042,2.8866,2.95772,187.26028,0.0,1,1,,ASSOCIATIVE,OK
diethyl ether,74.073,2.97883,3.50108,219.43339,1.15,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
oxirane~|~ethyleneoxide,44.026,2.1985,3.06558,241.37299,1.89,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-propenol~|~2-propen-1-ol~|~allyl alcohol,58.042,2.75718,3.22309,233.44613,0.0,1,1,,ASSOCIATIVE,OK
formic acid~|~methanoic acid,46.005,1.83695,2.97665,191.73238,0.0,1,1,,ASSOCIATIVE,OK
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,74.037,2.99161,3.25305,235.44098,1.93,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
aniline,93.058,3.03895,3.51123,327.09609,0.0,1,1,,ASSOCIATIVE,OK
anisole~|~methoxybenzene~|~methyl phenyl ether,108.058,3.43219,3.51952,286.44042,1.38,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-methylpyridine,93.058,3.03569,3.53859,287.94192,2.04,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-pinene~|~alpha-pinene~|~.alpha.-pinene,136.125,3.28923,4.03598,284.60132,0.0,0,0,,NONPOLAR,OK
ethylacetate~|~ethyl ethanoate,88.052,3.60057,3.27103,227.01764,1.78,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-butanol~|~butan-2-ol,74.073,3.42397,3.31208,230.31248,0.0,1,1,,ASSOCIATIVE,OK
"2,3-butanediol",90.068,2.6315,3.62098,130.73932,0.0,2,2,,ASSOCIATIVE,OK
benzylalcohol~|~benzenemethanol,108.058,1.7318,4.5,433.09088,0.0,1,1,,ASSOCIATIVE,sigma: higher
ethylbenzene,106.078,3.0887,3.781,287.08422,0.0,0,0,,NONPOLAR,OK
bromobenzene,155.957,2.72034,3.77446,327.7337,1.7,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
