Clapeyron Database Parameters
Asymmetric parameters for mixing Multiparameter EoS [csvtype = unlike]
species1,cas1,species2,cas2,beta_v,gamma_v,beta_T,gamma_T,source
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene",754-12-1,"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",811-97-2,1.0,1.0,1.0,0.985,10.1021/acs.jced.6b00257
carbon dioxide,124-38-9,"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene",754-12-1,1.0,1.015,1.017,1.0,
carbon dioxide,124-38-9,"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene",29118-24-9,1.0,1.0,1.0,1.023,
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene",754-12-1,"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene",29118-24-9,1.0,1.0,1.0,0.987,
ethene~|~ethylene~|~1-ethylene,74-85-1,"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene",677-21-4,1.0,1.02732,1.0,0.940888,
r1123~|~trifluoroethene~|~trifluoroethylene,359-11-5,r32~|~difluoromethane,75-10-5,1.0066985723000847,1.02211,0.999480270259465,0.948538,
r23~|~trifluoromethane,75-46-7,"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene",754-12-1,1.0,1.02879,1.0,1.01,
carbon dioxide,124-38-9,water,7732-18-5,1.021392,0.895156,1.030538,0.828472,10.1016/j.jct.2015.05.015
carbon dioxide,124-38-9,nitrogen,7727-37-9,1.022709642,1.047578256,0.994140013,1.107654104,10.1016/j.jct.2015.05.015
carbon dioxide,124-38-9,oxygen,7782-44-7,1.0,1.08446,1.0,1.031986,10.1016/j.jct.2015.05.015
carbon dioxide,124-38-9,argon,7440-37-1,1.001378,1.02971,1.027147,0.968781,10.1016/j.jct.2015.05.015
carbon dioxide,124-38-9,carbon monoxide,630-08-0,1.030855,1.245499,0.993245,1.068392,10.1016/j.jct.2015.05.015
water,7732-18-5,nitrogen,7727-37-9,1.079628,0.733443,0.954149,0.805147,10.1016/j.jct.2015.05.015
water,7732-18-5,oxygen,7782-44-7,0.972576,0.87346,0.798046,0.807842,10.1016/j.jct.2015.05.015
water,7732-18-5,argon,7440-37-1,0.940398,1.050952,0.679104,0.921,10.1016/j.jct.2015.05.015
water,7732-18-5,carbon monoxide,630-08-0,1.063348,0.766756,1.045927,0.823984,10.1016/j.jct.2015.05.015
nitrogen,7727-37-9,oxygen,7782-44-7,0.99952177,0.997082328,0.997190589,0.995157044,10.1016/j.jct.2015.05.015
nitrogen,7727-37-9,argon,7440-37-1,1.006697,1.001549,0.999442,0.989311,10.1016/j.jct.2015.05.015
nitrogen,7727-37-9,carbon monoxide,630-08-0,1.0,1.001317,1.002409,0.9941,10.1016/j.jct.2015.05.015
oxygen,7782-44-7,argon,7440-37-1,1.006502,1.001341,0.999039,0.988822,10.1016/j.jct.2015.05.015
oxygen,7782-44-7,carbon monoxide,630-08-0,1.0,1.0,1.0,1.0,10.1016/j.jct.2015.05.015
carbon monoxide,630-08-0,argon,7440-37-1,1.0,1.159720623,1.0,0.954215746,10.1016/j.jct.2015.05.015
methane,74-82-8,nitrogen,7727-37-9,0.998721377,1.013950311,0.99809883,0.979273013,10.1021/je300655b
methane,74-82-8,carbon dioxide,124-38-9,0.999518072,1.002806594,1.02262449,0.975665369,10.1021/je300655b
methane,74-82-8,ethane,74-84-0,0.997547866,1.006617867,0.996336508,1.049707697,10.1021/je300655b
methane,74-82-8,propane~|~n-propane,74-98-6,1.00482707,1.038470657,0.989680305,1.098655531,10.1021/je300655b
methane,74-82-8,butane~|~n-butane,106-97-8,0.979105972,1.045375122,0.99417491,1.171607691,10.1021/je300655b
methane,74-82-8,isobutane~|~2-methylpropane,75-28-5,1.011240388,1.054319053,0.980315756,1.161117729,10.1021/je300655b
methane,74-82-8,pentane~|~n-pentane,109-66-0,0.94833012,1.124508039,0.992127525,1.249173968,10.1021/je300655b
methane,74-82-8,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.343685343,1.0,1.188899743,10.1021/je300655b
methane,74-82-8,hexane~|~n-hexane,110-54-3,0.958015294,1.052643846,0.981844797,1.330570181,10.1021/je300655b
methane,74-82-8,heptane~|~n-heptane,142-82-5,0.962050831,1.156655935,0.977431529,1.379850328,10.1021/je300655b
methane,74-82-8,octane~|~n-octane,111-65-9,0.994740603,1.116549372,0.957473785,1.449245409,10.1021/je300655b
methane,74-82-8,nonane~|~n-nonane,111-84-2,1.002852287,1.141895355,0.947716769,1.528532478,10.1021/je300655b
methane,74-82-8,decane~|~n-decane,124-18-5,1.033086292,1.146089637,0.937777823,1.568231489,10.1021/je300655b
methane,74-82-8,hydrogen,1333-74-0,1.086,0.804,1.01,1.44,10.1063/5.0040533
methane,74-82-8,oxygen,7782-44-7,1.0,1.0,1.0,0.95,10.1021/je300655b
methane,74-82-8,carbon monoxide,630-08-0,0.997340772,1.006102927,0.987411732,0.987473033,10.1021/je300655b
methane,74-82-8,water,7732-18-5,1.012783169,1.585018334,1.063333913,0.775810513,10.1021/je300655b
methane,74-82-8,hydrogen sulfide,7783-06-4,1.012599087,1.040161207,1.011090031,0.961155729,10.1021/je300655b
