Clapeyron Database File
sCPA Assoc Parameters
species1,site1,species2,site2,epsilon_assoc,bondvol
water,e,water,H,2003.25,0.0692
carbon dioxide,e,water,H,1001.6281727958225,0.1836
hydrogen sulfide,e,hydrogen sulfide,H,448.1756874899118,0.04745
methanol,e,methanol,H,2957.6174828556764,0.0161
ethanol,e,ethanol,H,2589.7043487799774,0.008
propanol~|~1-propanol~|~propan-1-ol,e,propanol~|~1-propanol~|~propan-1-ol,H,2525.719455897247,0.0081
2-propanol~|~propan-2-ol~|~isopropanol,e,propanol~|~1-propanol~|~propan-1-ol,H,2525.719455897247,0.0091
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,H,2525.719455897247,0.0082
1-pentanol~|~pentan-1-ol,e,1-pentanol~|~pentan-1-ol,H,2525.719455897247,0.0036
1-octanol~|~octan-1-ol,e,1-octanol~|~octan-1-ol,H,3218.3679485883063,0.00014
formic acid~|~methanoic acid,e,formic acid~|~methanoic acid,H,5041.4563063259475,0.0155
acetic acid,e,acetic acid,H,4849.742172387842,0.0045
propionic acid~|~propanoic acid~|~n-propanoic acid,e,propionic acid~|~propanoic acid~|~n-propanoic acid,H,4807.887392832974,0.0021
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,"glycol~|~1,2-ethanediol~|~ethylene glycol",H,2375.6195568039248,0.0141
deg~|~diethylene glycol,e,deg~|~diethylene glycol,H,2367.4410366610196,0.0064
teg~|~triethylene glycol,e,teg~|~triethylene glycol,H,1724.3447542475633,0.0188
"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",e,"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",H,2097.7904166552275,0.019
methylamine~|~methanamine,e,methylamine~|~methanamine,H,1379.042822919897,0.0337
ethylamine~|~ethanamine,e,ethylamine~|~ethanamine,H,1120.6376681105999,0.043
"diethylamine~|~n,n-diethylamine",e,"diethylamine~|~n,n-diethylamine",H,445.10393154212056,0.1108
