Clapeyron Database File
Asymmetric mixing parameters for EOS-LNG [csvtype = unlike]
species1,species2,beta_v,gamma_v,beta_T,gamma_T,source
methane,nitrogen,0.998721377,1.013950311,0.99809883,0.979273013,10.1021/je300655b
methane,carbon dioxide,0.999518072,1.002806594,1.02262449,0.975665369,10.1021/je300655b
methane,ethane,0.997547866,1.006617867,0.996336508,1.049707697,10.1021/je300655b
methane,propane~|~n-propane,1.00482707,1.038470657,0.989680305,1.098655531,10.1021/je300655b
methane,butane~|~n-butane,1.035,1.118,0.9421,1.0307,10.1063/1.5093800
methane,isobutane~|~2-methylpropane,1.0434,1.143,0.9405,0.9917,10.1063/1.5093800
methane,pentane~|~n-pentane,1.02874,1.13209,0.9082,1.03884,10.1063/1.5093800
methane,isopentane~|~methylbutane~|~2-methylbutane,1.023,1.076,0.886,0.993,10.1063/1.5093800
methane,hexane~|~n-hexane,0.958015294,1.052643846,0.981844797,1.330570181,10.1021/je300655b
methane,heptane~|~n-heptane,0.962050831,1.156655935,0.977431529,1.379850328,10.1021/je300655b
methane,octane~|~n-octane,0.994740603,1.116549372,0.957473785,1.449245409,10.1021/je300655b
methane,nonane~|~n-nonane,1.002852287,1.141895355,0.947716769,1.528532478,10.1021/je300655b
methane,decane~|~n-decane,1.033086292,1.146089637,0.937777823,1.568231489,10.1021/je300655b
methane,hydrogen,1.0,1.018702573,1.0,1.352643115,10.1021/je300655b
methane,oxygen,1.0,1.0,1.0,0.95,10.1021/je300655b
methane,carbon monoxide,0.997340772,1.006102927,0.987411732,0.987473033,10.1021/je300655b
methane,water,1.012783169,1.585018334,1.063333913,0.775810513,10.1021/je300655b
methane,hydrogen sulfide,1.012599087,1.040161207,1.011090031,0.961155729,10.1021/je300655b
methane,helium~|~helium-4,1.0,0.881405683,1.0,3.159776855,10.1021/je300655b
methane,argon,1.034630259,1.014678542,0.990954281,0.989843388,10.1021/je300655b
nitrogen,carbon dioxide,0.977794634,1.047578256,1.005894529,1.107654104,10.1021/je300655b
nitrogen,ethane,0.978880168,1.042352891,1.007671428,1.098650964,10.1021/je300655b
nitrogen,propane~|~n-propane,0.974424681,1.081025408,1.002677329,1.201264026,10.1021/je300655b
