Clapeyron Database File
E-PPR78 unlike Parameters
species1,species2,A,B
CH3,CH2,65.54,105.7
CH3,CH,214.9,294.9
CH3,C,431.6,575.0
CH3,CH4,28.48,20.25
CH3,C2H6,3.775,8.922
CH3,CH aro~|~aCH,98.83,136.2
CH3,C aro~|~aC,103.6,103.6
CH3,C fused aromatic rings,624.9,774.1
CH3,CH2 cyclic~|~cCH2,43.58,60.05
CH3,CH cyclic~|~C cyclic~|~cCH~|~cC,0.0,170.9
CH3,CO2,144.8,401.5
CH3,N2,38.09,88.19
CH3,H2S,159.6,227.8
CH3,SH,789.6,1829.0
CH3,H2O,3557.0,11195.0
CH3,C2H4,7.892,35.0
CH3,CH2 alkenic~|~CH alkenic~|~=CH2~|~CH2=~|~=CH~|~CH=,0.0,44.27
CH3,C alkenic~|~=C~|~C=,102.6,260.1
CH3,CH cycloalkenic~|~C cycloalkenic~|~cCH=~|~cC=,0.0,169.5
CH3,H2,174.0,239.5
CH3,C2F6,119.1,118.4
CH3,CF3,123.2,133.8
CH3,CF2,58.33,65.2
CH3,CF2 double bond~|~CF double bond~|~CF2=~|~CF=~|~=CF2~|~=CF,0.0,16.54
CH3,C2H4F2,128.3,292.4
CH3,C2H2F4,158.5,3565.0
CH3,CO,91.24,94.24
CH3,He,416.3,513.4
CH3,Ar,11.27,55.48
CH3,SO2,322.2,201.4
CH3,O2,86.1,87.5
CH3,C2H2,-6.86,41.52
CH3,HC=-C-~|~C≡CH~|~CH#C,306.1,1167.0
CH3,-C=-C-~|~C≡C~|~C#C,72.06,1219.5
CH2,CH,39.05,41.59
CH2,C,134.5,183.9
CH2,CH4,37.75,74.81
CH2,C2H6,29.85,65.88
CH2,CH aro~|~aCH,25.05,64.51
CH2,C aro~|~aC,5.147,-7.549
CH2,C fused aromatic rings,-17.84,-4.118
CH2,CH2 cyclic~|~cCH2,8.579,27.79
CH2,CH cyclic~|~C cyclic~|~cCH~|~cC,0.0,-74.46
CH2,CO2,141.4,237.1
CH2,N2,83.73,188.7
CH2,H2S,136.6,124.6
CH2,SH,439.9,504.8
CH2,H2O,4324.0,12126.0
CH2,C2H4,59.71,82.35
CH2,CH2 alkenic~|~CH alkenic~|~=CH2~|~CH2=~|~=CH~|~CH=,0.0,50.79
CH2,C alkenic~|~=C~|~C=,64.85,51.82
CH2,CH cycloalkenic~|~C cycloalkenic~|~cCH=~|~cC=,0.0,51.13
CH2,H2,155.4,240.9
CH2,C2F6,105.0,130.4
CH2,CF3,195.6,199.0
CH2,CF2,58.33,68.63
CH2,C2H4F2,107.1,119.8
CH2,C2H2F4,86.47,-40.49
CH2,CO,44.0,45.55
CH2,He,520.52,673.22
CH2,Ar,113.6,231.6
CH2,SO2,55.9,-28.5
CH2,O2,107.4,200.8
CH2,C2H2,421.0,1193.8
CH2,HC=-C-~|~C≡CH~|~CH#C,303.3,316.0
CH2,-C=-C-~|~C≡C~|~C#C,488.0,826.6
CH,C,-86.13,85.1
CH,CH4,131.4,157.5
CH,C2H6,156.1,96.77
CH,CH aro~|~aCH,56.62,129.7
CH,C aro~|~aC,48.73,-89.22
CH,CH2 cyclic~|~cCH2,73.09,71.37
CH,CH cyclic~|~C cyclic~|~cCH~|~cC,0.0,18.53
CH,CO2,191.8,380.9
