OpenSAFT Database File;;;;;;
SaftVRMie Assoc Parameters;;;;;;
species1;site1;species2;site2;epsilon_assoc;bond_vol;source
aCH;e1;H2O;H;563.56;339.61e-30;
aCH;e1;aCCOOH;H;3961.5;0.023401e-30;
aCCH2;e1;H2O;H;563.56;339.61e-30;
aCCH2;e1;aCCOOH;H;3961.5;0.023401e-30;
aCCH;e1;H2O;H;563.56;339.61e-30;
COOH;H;COOH;H;6427.9;0.80620e-30;
COOH;e1;H2O;H;1451.8;280.89e-30;
COOH;e2;H2O;H;1252.6;150.98e-30;
COOH;H;H2O;e1;2567.7;270.09e-30;
COOH;e1;CH2OH;H;1062.1;210.67e-30;
COOH;e2;CH2OH;H;997.89;227.07e-30;
COOH;H;CH2OH;e1;3238.4;36.050e-30;
CH3COCH3;H;CH3COCH3;e1;980.20;2865.2e-30;
CH3COCH3;e1;H2O;H;1588.7;772.77e-30;
CH3COCH3;e2;H2O;H;417.24;1304.3e-30;
CH3COCH3;H;H2O;e1;1386.8;188.83e-30;
CH3COCH3;e1;OH;H;1492.9;986.39e-30;
CH3COCH3;H;OH;e1;1177.4;323.75e-30;
CH3COCH3;e1;CH2OH;H;1844.8;991.95e-30;
CH3COCH3;H;CH2OH;e1;686.93;585.99e-30;
CH3COCH3;e1;CHOH;H;1323.1;635.37e-30;
CH3COCH3;H;CHOH;e1;1186.9;731.08e-30;
CH3COCH3;e1;aCOH;H;2162.2;935.51e-30;
CH3COCH3;H;aCOH;e1;1053.1;500.00e-30;
CH3COCH3;e1;aCCOOH;H;2732.9;478.38e-30;
CH3COCH3;e1;aCNHaC;H;2208.9;750.72e-30;
COO;e1;H2O;H;1245.8;454.98e-30;
COO;e1;OH;H;1920.1;114.85e-30;
COO;e1;aCCOOH;H;1772.3;945.09e-30;
H2O;H;H2O;e1;1985.4;101.69e-30;
H2O;e1;CH3OH;H;1993.5;104.11e-30;
H2O;H;CH3OH;e1;1993.5;104.11e-30;
H2O;e1;CO2;e1;1398.1;91.419e-30;
H2O;e1;OH;H;500.00;1383.1e-30;
H2O;H;OH;e1;2225.6;114.53e-30;
H2O;e1;CH2OH;H;621.68;425.00e-30;
H2O;H;CH2OH;e1;2153.2;147.40e-30;
H2O;e1;CHOH;H;2289.1;63.813e-30;
H2O;H;CHOH;e1;2140.9;19.478e-30;
H2O;e1;NH2;H;1988.3;55.824e-30;
H2O;H;NH2;e1;1460.0;179.60e-30;
H2O;e1;NH;H;1064.5;400.82e-30;
H2O;H;NH;e1;3890.4;928.00e-30;
H2O;H;N;e1;2783.7;15.536e-30;
H2O;e1;cNH;H;1701.0;1.6177e-30;
H2O;H;cNH;e1;2838.4;37.395e-30;
H2O;H;cN;e1;5203.7;0.037400e-30;
H2O;H;aCCH3;e1;563.56;339.61e-30;
H2O;e1;aCOH;H;2500.0;52.470e-30;
H2O;H;aCOH;e1;1798.2;103.92e-30;
H2O;H;aCOH;e2;563.56;339.61e-30;
H2O;H;cCHNH;e1;5903.8;0.0020750e-30;
H2O;e1;cCHNH;H;5477.7;0.0095820e-30;
H2O;H;cCHN;e1;4115.4;0.23070e-30;
H2O;H;HNO3;e1;2900.0;38.401e-30;
H2O;e1;HNO3;H;1606.6;38.401e-30;
H2O;H;aCCOOH;e1;882.05;984.34e-30;
H2O;H;aCCOOH;e2;882.05;984.34e-30;
H2O;e1;aCCOOH;H;5192.5;0.011186e-30;
CH3OH;H;CH3OH;e1;2062.1;106.57e-30;
CH3OH;H;aCCOOH;e1;1400.7;495.32e-30;
CH3OH;e1;aCCOOH;H;871.46;0.25605e-30;
CH3OH;H;aCNHaC;e1;2346.0;3.1536e-30;
CH3OH;e1;aCNHaC;H;2346.0;3.1536e-30;
CO2;e1;NH2;e1;4023.9;120.35e-30;
CO2;e2;NH2;e1;5981.4;1.0036e-30;
CO2;e1;NH;e1;6012.1;0.14157e-30;
CO2;e2;NH;e1;7420.5;0.43534e-30;
CO2;e1;N;e1;4270.8;0.46340e-30;
CO2;e2;N;e1;7439.8;0.0067480e-30;
CO2;e1;cNH;e1;5696.6;4.6758e-30;
CO2;e2;cNH;e1;6017.9;1.1003e-30;
CO2;e1;cN;e1;3388.6;1031.0e-30;
CO2;e2;cN;e1;3004.9;659.21e-30;
CO2;e1;cCHNH;e1;2246.0;0.14057e-30;
CO2;e2;cCHNH;e1;3870.8;6445.7e-30;
OH;H;OH;e1;2161.0;54.398e-30;
OH;H;NH2;e1;1282.7;254.28e-30;
OH;e1;NH2;H;1354.0;141.35e-30;
OH;e1;NH;H;861.12;556.32e-30;
OH;H;NH;e1;1477.7;449.81e-30;
OH;H;N;e1;1357.2;599.19e-30;
CH2OH;H;CH2OH;e1;2097.9;62.309e-30;
CH2OH;e1;CHOH;H;1464.1;591.55e-30;
CH2OH;H;CHOH;e1;2500.0;10.444e-30;
CH2OH;e1;NH2;H;629.88;346.08e-30;
CH2OH;H;NH2;e1;2403.8;26.192e-30;
CH2OH;e1;NH;H;341.13;1499.8e-30;
CH2OH;H;NH;e1;1390.1;947.93e-30;
CH2OH;H;N;e1;1247.2;286.83e-30;
CH2OH;e1;aCOH;H;2182.7;402.60e-30;
CH2OH;H;aCOH;e1;250.03;25.000e-30;
CH2OH;H;aCCOOH;e1;1284.9;2978.8e-30;
CH2OH;H;aCCOOH;e2;3889.3;0.43712e-30;
CH2OH;e1;aCCOOH;H;1284.9;2978.8e-30;
CHOH;H;CHOH;e1;2480.6;8.4740e-30;
CHOH;H;aCCOOH;e1;2278.5;73.698e-30;
CHOH;H;aCCOOH;e2;2278.5;73.698e-30;
CHOH;e1;aCCOOH;H;2278.5;73.698e-30;
NH2;e1;NH2;H;1070.8;95.225e-30;
NH2;H;NH;e1;1639.9;37.900e-30;
NH2;e1;NH;H;1682.1;0.58200e-30;
NH;e1;NH;H;1370.3;10.062e-30;
cNH;H;cNH;e1;1511.6;87.651e-30;
cNH;H;cN;e1;901.35;1.1555e-30;
aCCH3;e1;aCCOOH;H;3961.5;0.023401e-30;
aCOH;H;aCOH;e1;1538.1;275.86e-30;
cCHNH;e1;cCHNH;H;1293.5;438.49e-30;
HNO3;H;HNO3;e1;1300.0;8.9978e-30;
aCCOOH;H;aCCOOH;H;4745.7;10.040e-30;
aCCOOH;H;aCNHaC;e1;2424.1;990.46e-30;
aCCOOH;H;CH3CO;e1;2828.1;47.677e-30;
