OpenSAFT Database File;;;;;;;;;;
SAFTgammaMie Like Parameters;;;;;;;;;;
species;vst;S;lambda_r;lambda_a;sigma;epsilon;n_H;n_e1;n_e2;source
CH3;1;0.57255;15.050;6.0000;4.0772;256.77;0;0;0;
CH2;1;0.22932;19.871;6.0000;4.8801;473.39;0;0;0;
CH;1;0.07210;8.0000;6.0000;5.2950;95.621;0;0;0;
C;1;0.04072;8.0000;6.0000;5.6571;50.020;0;0;0;
aCH;1;0.32184;14.756;6.0000;4.0578;371.53;0;1;0;
aCCH2;1;0.20859;8.5433;6.0000;5.2648;591.56;0;1;0;
aCCH;1;0.20650;8.0000;6.0000;4.3128;61.325;0;1;0;
CH2=;1;0.44890;20.271;6.0000;4.3175;300.90;0;0;0;
CH=;1;0.20037;15.974;6.0000;4.7488;952.54;0;0;0;
cCH2;1;0.24751;20.386;6.0000;4.7852;477.36;0;0;0;
COOH;1;0.55593;8.0000;6.0000;4.3331;405.78;1;2;2;
CH3COCH3;3;0.72135;17.433;6.0000;3.5981;286.02;1;1;1;
COO;1;0.65264;31.189;6.0000;3.9939;868.92;0;2;0;
H2O;1;1.00000;17.020;6.0000;3.0063;266.68;2;2;0;
CH3OH;2;0.83517;19.235;6.0000;3.2462;307.69;1;2;0;
CH4;1;1.00000;12.504;6.0000;3.7370;152.58;0;0;0;
CO2;2;0.84680;26.408;5.0550;3.0500;207.89;0;1;1;
OH;1;0.96340;20.702;6.0000;2.7990;410.31;1;2;0;
CH2OH;2;0.58538;22.699;6.0000;3.4054;407.22;1;2;0;
CHOH;2;0.18963;18.185;6.0000;4.5381;599.66;1;2;0;
NH2;1;0.79675;10.254;6.0000;3.2477;284.78;2;1;0;
NH;1;0.36589;19.999;6.0000;3.2568;100.00;1;1;0;
N;1;0.15069;8.8971;6.0000;3.0755;62.971;0;1;0;
cNH;1;0.16529;19.491;6.0000;4.9810;631.92;1;1;0;
cN;1;0.071900;7.0024;6.0000;4.6120;174.04;0;1;0;
C=;1;0.15330;8.0000;6.0000;4.0330;1500.0;0;0;0;
aCCH3;1;0.31655;23.627;6.0000;5.4874;651.41;0;1;0;
aCOH;1;0.74544;19.205;6.0000;3.3521;431.10;1;2;1;
cCH;1;0.09610;8.0000;6.0000;5.4116;699.92;0;0;0;
cCHNH;1;0.15346;9.2374;6.0000;5.5000;691.56;1;1;0;
cCHN;1;0.10264;8.0016;6.0000;4.4450;709.99;0;1;0;
aCCOaC;3;0.18086;9.8317;6.0000;4.0670;656.71;0;0;0;
aCCOOH;2;0.65530;8.0000;6.0000;3.3942;313.35;1;2;2;
aCNHaC;1;0.54263;8.2761;6.0000;3.3218;303.35;1;1;0;
CH3CO;2;0.54685;19.050;6.0000;3.9112;525.22;0;2;0;
[CH3][OCH 2];1;0.40981;10.1270;6.0000;2.8566;330.18;0;0;0;
[CH2][OCH2];1;0.40981;10.1270;6.0000;2.8566;248.20;0;0;0;
