Clapeyron Database File
DIPPR105 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,Tmin,Tmax
50-00-0,methanal~|~formaldehyde,1941.5,0.22309,408.0,0.28571,181.15,408.0
55-21-0,benzamide,737.1,0.25487,824.0,0.28571,403.0,824.0
56-23-5,ccl4~|~tetrachloromethane~|~carbon tetrachloride,998.35,0.274,556.35,0.287,250.33,556.35
57-55-6,"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",1092.3,0.26106,626.0,0.20459,213.15,626.0
60-29-7,diethyl ether,955.4,0.26847,466.7,0.2814,156.85,466.7
60-35-5,acetamide~|~ethanamide,1016.0,0.21845,761.0,0.26116,353.33,761.0
64-17-5,ethanol,1628.8,0.27469,514.0,0.23178,159.05,514.0
64-18-6,formicacid~|~methanoicacid,1938.0,0.24225,588.0,0.24435,281.45,588.0
64-19-7,acetic acid,1448.6,0.25892,591.95,0.2529,289.81,591.95
65-85-0,benzoic acid,715.87,0.24812,751.0,0.2857,395.45,751.0
66-25-1,hexanal~|~1-hexanal,718.99,0.26531,591.0,0.27628,217.15,591.0
67-56-1,methanol,2326.7,0.27073,512.5,0.24713,175.47,512.5
67-63-0,2-propanol~|~propan-2-ol~|~isopropanol,1179.9,0.2644,508.3,0.24653,185.26,508.3
67-64-1,acetone~|~propanone,1233.2,0.25886,508.2,0.2913,178.45,508.2
67-66-3,chcl3~|~chloroform~|~trichloromethane,1084.1,0.2581,536.4,0.2741,209.63,536.4
67-68-5,dmso~|~dimethyl sulfoxide,1109.6,0.25189,729.0,0.3311,291.67,729.0
68-12-2,"dimethylformamide~|~n,n-dimethylformamide",896.15,0.23478,649.6,0.28091,212.72,649.6
71-23-8,propanol~|~1-propanol~|~propan-1-ol,1245.7,0.27281,536.8,0.23994,146.95,536.8
71-36-3,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,982.79,0.2683,563.1,0.25488,183.85,563.1
71-41-0,1-pentanol~|~pentan-1-ol,817.54,0.26732,588.1,0.25348,195.56,588.1
71-43-2,benzene,1025.9,0.26666,562.05,0.28394,278.68,562.05
74-82-8,methane,2921.4,0.28976,190.56,0.28881,90.69,190.56
74-83-9,ch3br~|~bromomethane,1676.2,0.26141,467.0,0.28402,179.47,467.0
74-84-0,ethane,1912.2,0.27937,305.32,0.29187,90.35,305.32
74-85-1,ethene~|~ethylene~|~1-ethylene,2096.1,0.27657,282.34,0.29147,104.0,282.34
74-86-2,acetylene,2450.7,0.27448,308.3,0.28752,192.4,308.3
74-87-3,r40~|~chloromethane~|~methyl chloride,1817.0,0.25877,416.25,0.2833,175.43,416.25
74-89-5,methylamine~|~methanamine,1390.0,0.21405,430.05,0.2275,179.69,430.05
74-90-8,hydrogen cyanide,1341.3,0.18589,456.65,0.28206,259.83,456.65
74-93-1,methanethiol~|~methyl mercaptan,1932.3,0.28018,469.95,0.28523,150.18,469.95
74-95-3,ch2br2~|~dibromomethane,1113.6,0.24834,611.0,0.27583,220.6,611.0
74-96-4,bromoethane,1190.8,0.25595,503.8,0.29152,154.55,503.8
74-98-6,propane~|~n-propane,1375.7,0.27453,369.83,0.29359,85.47,369.83
74-99-7,propyne~|~1-propyne~|~methylacetylene,1608.5,0.26436,402.4,0.27987,170.45,402.4
75-00-3,chloroethane~|~ethyl chloride,1300.0,0.26019,460.35,0.27155,134.8,460.35
75-01-4,chloroethene~|~vinyl chloride,1511.5,0.2707,432.0,0.2716,119.36,432.0
75-04-7,ethylamine~|~ethanamine,1093.6,0.22636,456.15,0.25522,192.15,456.15
75-05-8,acetonitrile,1306.4,0.22597,545.5,0.28678,229.32,545.5
75-07-0,ethanal~|~acetaldehyde,1699.4,0.26167,466.0,0.2913,150.15,466.0
75-08-1,ethyl mercaptan,1304.7,0.2694,499.15,0.27866,125.26,499.15
75-09-2,ch2cl2~|~dichloromethane,1389.7,0.25678,510.0,0.2902,178.01,510.0
75-10-5,r32~|~difluoromethane,1997.3,0.24653,351.26,0.28153,136.95,351.26
75-12-7,formamide,1248.6,0.20352,771.0,0.25178,275.6,771.0
75-15-0,cs2~|~carbon disulfide,1796.8,0.28749,552.0,0.3226,161.11,552.0
75-18-3,2-thiapropane~|~dimethylsulfide,1402.9,0.27991,503.04,0.2741,174.88,503.04
75-19-4,cyclopropane,1741.1,0.28205,398.0,0.29598,145.59,398.0
75-21-8,oxirane~|~ethyleneoxide,1836.0,0.26024,469.15,0.2696,160.65,469.15
75-28-5,isobutane~|~2-methylpropane,1063.1,0.27506,407.8,0.2758,113.54,407.8
75-29-6,2-chloropropane~|~isopropyl chloride,1120.2,0.27669,489.0,0.27646,155.97,489.0
75-31-0,2-propylamine~|~2-propanamine~|~isopropylamine,1280.1,0.2828,471.85,0.2972,177.95,471.85
75-33-2,2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,1093.0,0.27762,517.0,0.29781,142.61,517.0
75-34-3,"1,1-dichloroethane",1105.5,0.26533,523.0,0.287,176.19,523.0
75-37-6,"r152a~|~difluoroethane~|~1,1-difluoroethane",1434.5,0.25774,386.44,0.28178,154.56,386.44
75-50-3,trimethylamine,1011.6,0.25683,433.25,0.2696,156.08,433.25
75-52-5,nitromethane,1372.8,0.23793,588.15,0.29601,244.6,588.15
75-54-7,dichloromethylsilane~|~methyl dichlorosilane,976.08,0.28209,483.0,0.22529,182.55,483.0
75-65-0,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,921.28,0.25442,506.2,0.27586,298.97,506.2
75-73-0,r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,1955.0,0.27884,227.51,0.28571,89.56,227.51
75-94-5,vinyltrichlorosilane,595.95,0.24314,543.15,0.24856,178.35,543.15
78-78-4,isopentane~|~methylbutane~|~2-methylbutane,919.91,0.27815,460.4,0.28667,113.25,460.4
78-80-8,isopropenylacetylene~|~2-methyl-1-buten-3-yne~|~2-methyl-1-butene-3-yne,1115.7,0.27671,492.0,0.30821,160.15,492.0
78-87-5,"1,2-dichloropropane",898.33,0.26142,572.0,0.2868,172.71,572.0
78-92-2,2-butanol~|~butan-2-ol,968.2,0.26244,535.9,0.26749,158.45,535.9
78-93-3,butanone~|~2-butanone~|~methyl ethyl ketone,937.67,0.25035,535.5,0.29964,186.48,535.5
78-99-9,"1,1-dichloropropane",955.1,0.27794,560.0,0.24132,200.0,560.0
79-00-5,"1,1,2-trichloroethane",906.2,0.25475,602.0,0.31,236.5,602.0
79-09-4,propionicacid~|~propanoic acid~|~n-propanoicacid,1096.9,0.25568,600.81,0.26857,252.45,600.81
79-10-7,acrylicacid~|~propenoic acid,1241.4,0.25822,615.0,0.30701,286.15,615.0
79-16-3,methylacetamide~|~n-methylacetamide,882.68,0.23568,718.0,0.27379,301.15,718.0
79-20-9,methylacetate~|~methyl ethanoate,1130.0,0.2593,506.55,0.2764,175.15,506.55
79-24-3,nitroethane,1002.4,0.23655,593.0,0.278,183.63,593.0
79-29-8,"2,3-dimethylbutane",756.5,0.27305,500.0,0.27408,145.19,500.0
79-31-2,isobutyricacid~|~2-methylpropanoic acid,885.75,0.25736,605.0,0.26265,227.15,605.0
79-41-4,methacrylicacid~|~2-methyl-2-propenoic acid,870.25,0.24383,662.0,0.28571,288.15,662.0
80-62-6,methyl methacrylate,776.1,0.25068,566.0,0.29773,224.95,566.0
84-15-1,"o-terphenyl~|~1,1'-2',1''-terphenyl",344.8,0.25116,857.0,0.29268,329.35,857.0
85-01-8,phenanthrene,455.54,0.2523,869.0,0.24841,372.38,869.0
85-44-9,phthalic anhydride,539.3,0.22704,791.0,0.248,404.15,791.0
88-09-5,2-ethylbutyricacid~|~2-ethylbutanoic acid,660.85,0.25707,655.0,0.31103,258.15,655.0
91-20-3,naphthalene,634.8,0.25838,748.4,0.27727,333.15,748.4
92-52-4,biphenyl,522.57,0.25833,773.0,0.27026,342.2,773.0
93-58-3,methyl benzoate,533.82,0.23274,693.0,0.28147,260.75,693.0
93-89-0,ethyl benzoate,488.64,0.23894,698.0,0.28421,238.45,698.0
95-47-6,"oxylene~|~o-xylene~|~1,2-dimethylbenzene",699.62,0.26143,630.3,0.27365,247.98,630.3
95-48-7,o-cresol~|~2-methylphenol,1086.1,0.30624,697.55,0.30587,304.19,697.55
95-50-1,"o-dichloro benzene~|~1,2-dichlorobenzene",744.04,0.26112,705.0,0.30815,256.15,705.0
95-63-6,"1,2,4-trimethylbenzene",603.94,0.25956,649.1,0.27713,229.33,649.1
96-22-0,3-pentanone~|~pentan-3-one~|~diethylketone,718.11,0.24129,560.95,0.27996,234.18,560.95
96-33-3,methylacrylate~|~methyl propenoate,972.86,0.26267,536.0,0.2508,196.32,536.0
96-37-7,methylcyclopentane,847.58,0.27037,532.7,0.28258,130.73,532.7
98-82-8,cumene~|~isopropylbenzene,587.11,0.25583,631.0,0.28498,177.14,631.0
98-83-9,alpha-methylstyrene~|~(1-methylethenyl)benzene,648.56,0.25877,654.0,0.31444,249.95,654.0
99-35-4,"1,3,5-trinitrobenzene",481.95,0.23093,846.0,0.28571,398.4,846.0
100-21-0,"terephthalic acid~|~1,4-benzenedicarboxylicacid",426.85,0.181,1113.0,0.28571,700.15,1113.0
100-41-4,ethylbenzene,700.41,0.26162,617.15,0.28454,178.2,617.15
100-42-5,styrene,739.7,0.2603,636.0,0.3009,242.54,636.0
100-47-0,benzonitrile,855.2,0.26785,699.35,0.30523,260.4,699.35
100-51-6,benzylalcohol~|~benzenemethanol,598.67,0.22849,720.15,0.23567,257.85,720.15
100-53-8,benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,707.97,0.25982,718.0,0.32144,243.95,718.0
100-66-3,anisole~|~methyl phenyl ether,774.88,0.26114,645.6,0.28234,235.65,645.6
101-84-8,diphenyl ether,521.33,0.26218,766.8,0.31033,300.03,766.8
103-65-1,propylbenzene~|~n-propylbenzene,572.33,0.25171,638.35,0.29616,173.55,638.35
103-71-9,phenyl isocyanate,631.63,0.23373,653.0,0.28571,243.15,653.0
104-51-8,butylbenzene~|~n-butylbenzene,508.12,0.25238,660.5,0.29373,185.3,660.5
105-37-3,ethylpropionate~|~ethyl propanoate,740.5,0.25563,546.0,0.2795,199.25,546.0
105-54-4,ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,635.66,0.25613,571.0,0.27829,175.15,571.0
106-35-4,3-heptanone,592.68,0.25663,606.6,0.27766,234.15,606.6
106-42-3,"pxylene~|~p-xylene~|~1,4-dimethylbenzene",677.52,0.25887,616.2,0.27596,286.41,616.2
106-44-5,p-cresol~|~4-methylphenol,1150.3,0.31861,704.65,0.30104,307.93,704.65
106-46-7,"p-dichlorobenzene~|~1,4-dichlorobenzene",748.58,0.26276,684.75,0.30788,326.14,684.75
106-51-4,quinone,832.28,0.25385,683.0,0.23658,388.85,683.0
106-68-3,3-octanone,510.8,0.25386,627.7,0.26735,255.55,627.7
106-93-4,"1,2-dibromoethane",1013.2,0.26634,650.15,0.28571,282.85,650.15
106-97-8,butane~|~n-butane,1067.7,0.27188,425.12,0.28688,134.86,425.12
106-98-9,butene~|~1-butene,1087.7,0.26454,419.5,0.2843,87.8,419.5
106-99-0,"butadiene~|~1,3-butadiene",1234.6,0.27216,425.0,0.28707,164.25,425.0
107-00-6,butyne~|~1-butyne~|~ethylacetylene,1340.9,0.27892,440.0,0.29661,147.43,440.0
107-02-8,acrolein~|~2-propenal,1326.1,0.26124,506.0,0.2489,185.45,506.0
107-03-9,1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,1071.4,0.27214,536.6,0.29481,159.95,536.6
107-06-2,"dichloroethane~|~1,2-dichloroethane",1259.1,0.27698,561.6,0.30492,237.49,561.6
107-10-8,propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,919.5,0.23878,496.95,0.2461,188.36,496.95
107-12-0,propionitrile~|~propanenitrile,1022.4,0.23452,564.4,0.2804,180.26,564.4
