Clapeyron Database File,,,,,,,,
PCSAFT Assoc Parameters,,,,,,,,
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source
ammonia,N,H,ammonia,N,e,893.1,0.0327,
water,O,H,water,O,e,1809.0,0.01593,
hydrogen sulfide,S,H,hydrogen sulfide,S,e,804.1,0.0091,
methanol,CO,H,methanol,CO,e,2714.0,0.0486,
ethanol,CCO,H,ethanol,CCO,e,2759.0,0.0292,
propanol~|~1-propanol~|~propan-1-ol,CCCO,H,propanol~|~1-propanol~|~propan-1-ol,CCCO,e,2619.0,0.0197,
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,H,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,CCCCO,e,2605.0,0.0164,
1-pentanol~|~pentan-1-ol,CCCCCO,H,1-pentanol~|~pentan-1-ol,CCCCCO,e,2587.0,0.0164,
1-hexanol~|~hexan-1-ol,CCCCCCO,H,1-hexanol~|~hexan-1-ol,CCCCCCO,e,2556.0,0.0187,
1-heptanol~|~heptan-1-ol,CCCCCCCO,H,1-heptanol~|~heptan-1-ol,CCCCCCCO,e,2579.0,0.0165,
1-octanol~|~octan-1-ol,CCCCCCCCO,H,1-octanol~|~octan-1-ol,CCCCCCCCO,e,2532.0,0.02,
1-nonanol~|~nonan-1-ol,CCCCCCCCCO,H,1-nonanol~|~nonan-1-ol,CCCCCCCCCO,e,2516.0,0.0225,
1-decanol~|~decan-1-ol,CCCCCCCCCCO,H,1-decanol~|~decan-1-ol,CCCCCCCCCCO,e,2448.0,0.0289,
2-propanol~|~propan-2-ol~|~isopropanol,CC(O)C,H,2-propanol~|~propan-2-ol~|~isopropanol,CC(O)C,e,2670.0,0.021,
2-butanol~|~butan-2-ol,CC(O)CC,H,2-butanol~|~butan-2-ol,CC(O)CC,e,2457.0,0.0163,
isobutanol~|~2-methyl-1-propanol,CC(C)CO,H,isobutanol~|~2-methyl-1-propanol,CC(C)CO,e,2698.0,0.004,
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,CC(O)(C)C,H,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,CC(O)(C)C,e,2515.0,0.0112,
phenol,c1ccccc1O,H,phenol,c1ccccc1O,e,1894.0,0.0432,
formicacid~|~methanoicacid,C(=O)O,H,formicacid~|~methanoicacid,C(=O)O,H,7522.0,0.0016,
acetic acid,CC(=O)O,H,acetic acid,CC(=O)O,H,3941.0,0.0393,
propionicacid~|~propanoic acid~|~n-propanoicacid,CCC(=O)O,H,propionicacid~|~propanoic acid~|~n-propanoicacid,CCC(=O)O,H,3400.0,0.0082,
butyricacid~|~butanoic acid~|~n-butyric acid~|~n-butanoicacid,CCCC(=O)O,H,butyricacid~|~butanoic acid~|~n-butyric acid~|~n-butanoicacid,CCCC(=O)O,H,4155.0,0.0037,
bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,CCCCC(=O)O,H,bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,CCCCC(=O)O,H,4322.0,0.0051,
hexanoicacid~|~n-hexanoicacid~|~n-pentyl formate,CCCCCC(=O)O,H,hexanoicacid~|~n-hexanoicacid~|~n-pentyl formate,CCCCCC(=O)O,H,4683.0,0.0024,
heptanoic acid~|~n-heptanoicacid,CCCCCCC(=O)O,H,heptanoic acid~|~n-heptanoicacid,CCCCCCC(=O)O,H,4734.0,0.0023,
caprylicacid~|~octanoic acid~|~n-octanoic acid,CCCCCCCC(=O)O,H,caprylicacid~|~octanoic acid~|~n-octanoic acid,CCCCCCCC(=O)O,H,4745.0,0.0024,
nonanoic acid~|~n-nonanoic acid,CCCCCCCCC(=O)O,H,nonanoic acid~|~n-nonanoic acid,CCCCCCCCC(=O)O,H,4798.0,0.002,
decanoic acid~|~n-decanoicacid,CCCCCCCCCC(=O)O,H,decanoic acid~|~n-decanoicacid,CCCCCCCCCC(=O)O,H,4906.0,0.0018,
benzoic acid,c1ccccc1(=O)O,H,benzoic acid,c1ccccc1(=O)O,H,5930.0,0.0031,
methylamine~|~methanamine,CN,H,methylamine~|~methanamine,CN,e,1045.0,0.0631,
ethylamine~|~ethanamine,CCN,H,ethylamine~|~ethanamine,CCN,e,940.3,0.1065,
dipropylamine~|~1-propanamine~|~di-n-propylamine,CCCN,H,dipropylamine~|~1-propanamine~|~di-n-propylamine,CCCN,e,779.1,0.1794,
1-butylamine~|~n-butylamine~|~1-butanamine,CCCCN,H,1-butylamine~|~n-butylamine~|~1-butanamine,CCCCN,e,895.4,0.1508,
pentylamine~|~n-pentylamine~|~1-pentanamine~|~1-aminopentane~|~1-pentylamine,CCCCCN,H,pentylamine~|~n-pentylamine~|~1-pentanamine~|~1-aminopentane~|~1-pentylamine,CCCCCN,e,746.1,0.1515,
hexylamine~|~n-hexylamine~|~1-hexanamine,CCCCCCN,H,hexylamine~|~n-hexylamine~|~1-hexanamine,CCCCCCN,e,722.0,0.1663,
1-heptanamine~|~n-heptylamine,CCCCCCCN,H,1-heptanamine~|~n-heptylamine,CCCCCCCN,e,553.9,0.1657,
aniline,c1ccccc1N,H,aniline,c1ccccc1N,e,1269.0,0.1127,
dimethylamine,CNC,H,dimethylamine,CNC,e,1064.0,0.1561,
diethylamine,CCNCC,H,diethylamine,CCNCC,e,581.3,0.1536,
