Clapeyron database file
ideal gas formation enthalpies and entropies at 1 bar, 298.15 K  [csvtype = single,sep = ;]
CAS;species;H0;S0
50-0-0;methanal~|~formaldehyde;-108600;218.8
51-17-2;1H-Benzimidazole;181700;
51-28-5;2,4-dinitrophenol;-128100;
51-79-6;Ethyl carbamate;-446300;
51-80-9;n,n,n',n'-tetramethylmethanediamine;-18200;
55-21-0;benzamide;-100900;
55-63-0;nitroglycerin~|~1,2,3-propanetrioltrinitrate;-279100;545.9
56-12-2;4-Aminobutanoic acid;-441000;
56-23-5;ccl4~|~tetrachloromethane~|~carbon tetrachloride;-95700;
56-40-6;glycine;-392100;
56-41-7;L-Alanine;-465900;
56-55-3;benzanthracene~|~benz(a)anthracene~|~benz[a]anthracene;293000;
56-81-5;glycerol;-577900;
57-10-3;palmitic acid~|~hexadecanoic acid;-737100;
57-11-4;stearic acid~|~octadecanoic acid;-781200;
57-13-6;Urea;-245800;
57-14-7;n,n-dimethylhydrazine~|~1,1-dimethylhydrazine;84100;
57-55-6;propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol;-429800;
57-57-8;2-oxetanone~|~beta-propiolactone;-282900;
59-31-4;2-Quinolinol;-25500;
59-67-6;niacin~|~3-pyridinecarboxylic acid;-221500;
60-29-7;diethyl ether;-252100;342.7
60-34-4;methylhydrazine;94700;278.8
60-35-5;acetamide~|~ethanamide;-238300;
61-90-5;L-Leucine;-486800;
62-53-3;aniline;87500;317.9
62-55-5;Thioacetamide;11400;
62-56-6;thiourea;22900;
62-76-0;Sodium oxalate;-1318000;
63-68-3;L-Methionine;-413500;
63-91-2;phenylalanine~|~l-phenylalanine;-312900;
64-17-5;ethanol;-234800;281.6
64-18-6;formic acid~|~methanoic acid;-378700;
64-19-7;acetic acid;-432200;283.5
64-67-5;sulfuric acid,diethyl ester;-756300;
65-71-4;Thymine;-328700;
65-85-0;benzoic acid;-294000;
66-22-8;Uracil;-302900;
67-56-1;methanol;-201000;239.9
67-63-0;2-propanol~|~propan-2-ol~|~isopropanol;-272600;309.2
67-64-1;acetone~|~propanone;-217100;295.3
67-66-3;chcl3~|~chloroform~|~trichloromethane;-102700;295.7
67-68-5;dmso~|~dimethyl sulfoxide;-151300;
67-71-0;Dimethyl sulfone;-373100;310.6
67-72-1;hexachloroethane;-143600;
68-12-2;dmf~|~dimethylformamide~|~n,n-dimethylformamide;-192400;
69-72-7;salicylic acid;-494800;
70-29-1;diethyl sulfoxide;-205600;
71-23-8;propanol~|~1-propanol~|~propan-1-ol;-255100;322.6
71-36-3;butanol~|~n-butanol~|~1-butanol~|~butan-1-ol;-274900;
71-41-0;1-pentanol~|~pentan-1-ol;-294600;
71-43-2;benzene;82900;269.2
71-55-6;r140a~|~1,1,1-trichloroethane;-144400;323.1
72-18-4;L-Valine;-455100;
73-24-5;Adenine;205700;
74-11-3;4-Chlorobenzoic acid;-341000;
74-82-8;methane;-74600;186.3
74-83-9;ch3br~|~r40b1~|~bromomethane~|~methyl bromide;-35400;246.4
74-84-0;ethane;-84000;229.2
74-85-1;ethene~|~ethylene~|~1-ethylene;52400;219.3
74-86-2;ethine~|~ethyne~|~acetylene;227400;200.9
74-87-3;r40~|~chloromethane~|~methyl chloride;-81900;234.6
74-88-4;ch3i~|~iodomethane~|~methyl iodide;14400;254.1
74-89-5;methylamine~|~methanamine;-22500;242.9
74-90-8;hydrogen cyanide;135100;201.8
74-93-1;methanethiol~|~methyl mercaptan;-22900;255.2
74-96-4;bromoethane~|~ethyl bromide;-61900;286.7
74-98-6;propane~|~n-propane;-103800;270.3
74-99-7;propyne~|~1-propyne~|~methylacetylene;184900;
75-0-3;chloroethane~|~ethyl chloride;-112100;276.0
75-1-4;chloroethene~|~vinyl chloride;37200;264.0
75-2-5;vinyl fluoride;-138800;
75-3-6;iodoethane~|~ethyl iodide;-8100;306.0
75-4-7;ethylamine~|~ethanamine;-47500;283.8
75-5-8;acetonitrile;74000;243.4
75-7-0;ethanal~|~acetaldehyde;-166200;263.8
75-8-1;ethanethiol~|~ethyl mercaptan;-46100;296.2
75-9-2;ch2cl2~|~dichloromethane;-95400;270.2
75-10-5;r32~|~difluoromethane;-452300;246.7
75-11-6;diiodomethane;119500;309.7
75-12-7;formamide;-193900;
75-15-0;cs2~|~carbon disulfide;116700;237.8
75-18-3;2-thiapropane~|~dimethylsulfide;-37400;286.0
75-19-4;cyclopropane;53300;237.5
75-21-8;oxirane~|~ethyleneoxide;-52600;242.5
75-24-1;trimethylaluminum;-74100;
75-25-2;r20b3~|~chbr3~|~bromoform~|~tribromomethane;23800;330.9
75-26-3;2-bromopropane~|~isopropyl bromide;-99400;
75-28-5;isobutane~|~2-methylpropane;-134200;
75-29-6;2-chloropropane~|~isopropyl chloride;-144900;
75-30-9;2-iodopropane~|~isopropyl iodide;-40300;
75-31-0;2-propylamine~|~2-propanamine~|~isopropylamine;-83700;312.2
75-33-2;2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan;-76200;
75-34-3;r150a~|~1,1-dichloroethane;-127700;305.1
75-35-4;1,1-dichloroethene~|~1,1-dichloroethylene;2800;289.0
75-36-5;acetyl chloride;-242800;295.1
75-37-6;r152a~|~difluoroethane~|~1,1-difluoroethane;-497000;282.5
75-38-7;1,1-difluoroethene~|~1,1-difluoroethylene;-335000;266.2
75-44-5;phosgene;-219100;283.5
75-45-6;r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane;-482600;280.9
75-46-7;r23~|~fluoroform~|~trifluoromethane;-695400;259.7
75-47-8;Triiodomethane;251000;356.2
75-50-3;trimethylamine;-23600;287.1
75-52-5;nitromethane;-80800;282.9
75-62-7;r10b1~|~bromotrichloromethane;-41100;
75-63-8;cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane;-648300;
75-64-9;tert-butylamine~|~2-methyl-2-propanamine;-121000;
75-65-0;tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol;-312500;326.7
75-66-1;tert-butyl mercaptan~|~2-methyl-2-propanethiol;-109600;
75-69-4;r11~|~cfcl3~|~trichlorofluoromethane;-268300;
75-71-8;r12~|~dichlorodifluoromethane;-477400;300.8
75-72-9;r13~|~chlorotrifluoromethane;-706300;
75-73-0;r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride;-933600;261.6
75-74-1;tetramethyllead;135900;
75-76-3;tetramethylsilane;-239100;359.0
75-77-4;trimethylchlorosilane~|~chlorotrimethylsilane;-352800;369.1
75-79-6;trichloromethylsilane~|~methyl trichlorosilane;-528900;351.1
75-83-2;2,2-dimethylbutane;-185900;
75-85-4;tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol;-329300;
75-87-6;trichloroacetaldehyde~|~2,2,2-trichloroacetaldehyde;-196600;
75-89-8;2,2,2-trifluoroethanol;-888400;
75-91-2;t-butyl hydroperoxide~|~tert-butylhydroperoxide~|~tert.butyl hydroperoxide;-245900;
75-97-8;3,3-dimethyl-2-butanone;-290600;
75-98-9;pivalic acid~|~2,2-dimethylpropanoic acid~|~2,2-dimethyl-propanoic acid;-491300;
76-1-7;pentachloroethane;-142000;
76-2-8;trichloroacetyl chloride;-239800;
76-5-1;trifluoroacetic acid~|~trifluoroethanoic acid;-1031400;
76-11-9;2,2-difluorotetrachloroethane~|~1,1,1,2-tetrachlorodifluoroethane;-489900;382.9
76-13-1;r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane;-716800;
76-14-2;r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane;-937000;
76-15-3;r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane;-1118800;
76-16-4;r116~|~perfluoroethane~|~hexafluoroethane;-1344200;332.3
76-19-7;r218~|~perfluoropropane~|~octafluoropropane;-1783200;
76-37-9;2,2,3,3-tetrafluoro-1-propanol;-1061300;
77-76-9;2,2-dimethoxypropane~|~3,3-dimethyl-2,4-dioxapentane;-429900;
77-78-1;dimethyl sulfate;-687000;
78-0-2;tetraethyl lead~|~tetraethylplumbane;109600;
78-11-5;2,2-bis(nitrooxy)methyl-1,3-propanedioldinitrate;-387000;614.7
78-75-1;1,2-dibromopropane;-71600;
78-78-4;isopentane~|~methylbutane~|~2-methylbutane;-153600;
78-79-5;isoprene~|~2-methyl-1,3-butadiene;75500;
78-81-9;isobutylamine~|~2-methylpropylamine~|~2-methyl-1-propanamine;-98700;
78-82-0;isobutyronitrile~|~2-methylpropanenitrile;23400;
78-83-1;isobutanol~|~2-methyl-1-propanol;-283800;
78-84-2;isobutanal~|~2-methylpropanal;-215700;
78-92-2;2-butanol~|~butan-2-ol;-292800;359.5
78-93-3;butanone~|~2-butanone~|~methyl ethyl ketone;-238500;339.9
78-98-8;methyl glyoxal;-271000;
79-0-5;1,1,2-trichloroethane;-151300;337.2
79-1-6;trichloroethene~|~trichloroethylene;-9000;324.8
