Clapeyron Database File
Reid Coefficients from Poling [csvtype = single; grouptype = unknown]
species,cas,a,b,c,d,e
ccl4~|~tetrachloromethane~|~carbon tetrachloride,56-23-5,20.93581687250985,0.34822632337349396,-0.0005953155234597719,4.771670096558143e-7,-1.4600196357477086e-10
diethyl ether,60-29-7,38.346301594922735,0.3117258324798012,-0.00015548045095946557,1.0941832805489662e-7,-5.80349490747096e-11
aniline,62-53-3,21.600973881962112,0.16575712675550294,0.0007015743557197702,-1.1114773627947248e-6,4.681042454020274e-10
ethanol,64-17-5,36.550377669401634,0.005221482524200233,0.0004611200968027786,-5.840078542990835e-7,2.2324332129741446e-10
formic acid~|~methanoic acid,64-18-6,31.66978811254569,0.013037077385264278,0.00029823977411315666,-3.666678014605578e-7,1.3901781497552214e-10
acetic acid,64-19-7,36.37577395442042,-0.01992976689571331,0.0005618082391086143,-7.286795038549498e-7,2.891770098593697e-10
methanol,67-56-1,39.19437678197436,-0.05808483585041852,0.0003501220208504329,-3.6941157412454843e-7,1.276270011886522e-10
2-propanol~|~propan-2-ol~|~isopropanol,67-63-0,27.7204183689229,0.15675256374004304,0.00030297901780550397,-5.084293891000706e-7,2.1143678437963687e-10
acetone~|~propanone,67-64-1,42.6199353806535,0.012563153016029545,0.0004765018526463621,-5.96728982104858e-7,2.2681854022322033e-10
chcl3~|~chloroform~|~trichloromethane,67-66-3,19.863251194768086,0.21798858092274162,-0.0002614898493409193,1.5439957081910562e-7,-3.51701768747882e-11
propanol~|~1-propanol~|~propan-1-ol,71-23-8,39.17774785673806,0.05458444708817601,0.0005246425912054694,-6.935093269801616e-7,2.673931177998082e-10
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,71-36-3,37.140704515290516,0.13631561462462236,0.0005560712599020886,-8.056714276990489e-7,3.2127083556544114e-10
1-pentanol~|~pentan-1-ol,71-41-0,45.97897827838741,0.14040633023275373,0.0007840538248918504,-1.1411599943415319e-6,4.661919189998521e-10
benzene,71-43-2,29.524656757062154,-0.051416636830659626,0.0011943725550977128,-1.646845610777612e-6,6.846128519787377e-10
methane,74-82-8,37.98046523972399,-0.07462230199792531,0.00030189813766514414,-2.832737414004808e-7,9.071078716405182e-11
ethane,74-84-0,34.73782481864423,-0.03680812601056439,0.0004705985841874733,-5.52994908733372e-7,2.0678068531347104e-10
ethene~|~ethylene~|~1-ethylene,74-85-1,35.09534671122482,-0.07301761071262175,0.00048182310872198013,-5.594801895755315e-7,2.0877615634182782e-10
ethine~|~ethyne~|~acetylene,74-86-2,20.037854909749306,0.09084381856594229,-2.120187967629076e-5,-6.568425468341058e-8,4.356778411912297e-11
r40~|~chloromethane~|~methyl chloride,74-87-3,29.749147247752287,-0.014550309581768167,0.000255337147003486,-3.0879914163821123e-7,1.170676336635976e-10
methylamine~|~methanamine,74-89-5,34.862541757916524,-0.017643289675721173,0.0003358211451472093,-3.939392388481004e-7,1.455862404438632e-10
methanethiol~|~methyl mercaptan,74-93-1,34.247271524173186,0.010916889417635202,0.00021542772643635041,-2.6706053929508204e-7,1.0043870842729113e-10
bromoethane~|~ethyl bromide,74-96-4,30.231386079605176,0.05704552802314937,0.00031170920355456493,-4.5280563418462537e-7,1.8549566101099874e-10
propane~|~n-propane,74-98-6,31.98573769203551,0.04266150769374427,0.0004997823479771912,-6.562605344508351e-7,2.5600230401293817e-10
propyne~|~1-propyne~|~methylacetylene,74-99-7,26.257072948127927,0.10151958856765105,9.70297787538483e-5,-1.9256295423642902e-7,8.331091543389546e-11
chloroethane~|~ethyl chloride,75-00-3,25.18450727038616,0.08218846298044476,0.00024669010588060657,-3.7830804912597235e-7,1.555635955856471e-10
ethylamine~|~ethanamine,75-04-7,38.579106548231024,0.017202623156959054,0.00048198939797434325,-6.368046919243565e-7,2.5300909747040306e-10
ethanethiol~|~ethyl mercaptan,75-08-1,32.37651743508871,0.1076806053677026,0.00017061277292450443,-2.73296386258697e-7,1.090857495501705e-10
ch2cl2~|~dichloromethane,75-09-2,22.53219369519528,0.09612350232846958,2.6938858882816493e-5,-1.1390813786869937e-7,5.5041742532174436e-11
r32~|~difluoromethane,75-10-5,34.50501986533594,-0.04642795925976769,0.000364506041179838,-4.2902627109670707e-7,1.5963768226854217e-10
2-thiapropane~|~dimethylsulfide,75-18-3,29.391625355171698,0.14575252969622626,4.95541972041933e-5,-1.3569202992826086e-7,5.786865982234654e-11
cyclopropane,75-19-4,37.3568805433625,-0.15046683000071914,0.0010595951160574488,-1.3343881055874134e-6,5.342873678425271e-10
isobutane~|~2-methylpropane,75-28-5,27.8617642334315,0.14868753500043436,0.0004553831175962529,-6.734714720704123e-7,2.696380227067095e-10
2-propylamine~|~2-propanamine~|~isopropylamine,75-31-0,30.206442691750716,0.18475567383798314,0.00025724947340566117,-4.4690236572573657e-7,1.859113841419064e-10
"r150a~|~1,1-dichloroethane",75-34-3,21.700747433379952,0.20663933944896243,-5.612262267253436e-5,-8.605468809788602e-8,5.346199463472532e-11
"r152a~|~difluoroethane~|~1,1-difluoroethane",75-37-6,27.37121093896046,0.09768662130068241,0.00023571501522464433,-3.86206788613218e-7,1.6138371941835437e-10
"1,1-difluoroethene~|~1,1-difluoroethylene",75-38-7,6.227532500996776,0.22246176181130803,-0.00015839051287581919,2.0370433414475435e-8,1.696150374103261e-11
r21~|~chfcl2~|~dichlorofluoromethane,75-43-4,24.519350260933898,0.142426744648965,-5.229796986818387e-5,-6.82617380950381e-8,4.764187080201806e-11
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,75-45-6,26.306959723836847,0.08665332940639306,9.802751426802668e-5,-2.203332593810608e-7,1.0160273319383257e-10
r23~|~fluoroform~|~trifluoromethane,75-46-7,28.684896032628675,0.02893432991117327,0.0002504316140587756,-3.7015987576018216e-7,1.524872444169304e-10
trimethylamine,75-50-3,13.802007946134376,0.2319651925838572,0.000209275024098917,-4.2403759352581516e-7,1.8208673133755594e-10
nitromethane,75-52-5,34.88748514577099,-0.009162537805204868,0.000428859981844344,-5.588150325660793e-7,2.2116470564287615e-10
r12b2~|~dibromodifluoromethane,75-61-6,20.58660944254742,0.3002768174546042,-0.0004710974519445625,3.6317572716093347e-7,-1.1008348506434887e-10
cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,75-63-8,16.288032268962194,0.25599398955032004,-0.0003144529762185555,1.8591138414190641e-7,-4.2819482483489174e-11
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,75-65-0,21.709061895998108,0.29975300630966056,0.00012613039791738466,-3.625105701514812e-7,1.6188258717544352e-10
"r142b~|~1-chloro-1,1-difluoroethane",75-68-3,19.43921360124227,0.24769615585740315,-8.713556823824594e-5,-1.1108122057852727e-7,7.707506847028053e-11
r11~|~cfcl3~|~trichlorofluoromethane,75-69-4,17.377226871940266,0.3233494512199795,-0.0005054361825575353,3.7764289211652007e-7,-1.0941832805489662e-10
r12~|~dichlorodifluoromethane,75-71-8,18.167100820664825,0.25983527127990685,-0.0003096305879000266,1.604691285303575e-7,-2.6855714256634962e-11
r13~|~chlorotrifluoromethane,75-72-9,19.696961942405025,0.19839139253175445,-0.00013128536474063963,-3.0430933182440856e-8,4.3900362623849104e-11
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,75-73-0,21.97512469977901,0.12790137845505128,7.067293225430253e-5,-2.444452009737052e-7,1.2213945586067107e-10
"2,2-dimethylbutane",75-83-2,25.001589092786787,0.3247545954024474,0.0004033345816066136,-6.853611536143715e-7,2.7994795635321955e-10
tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,75-85-4,35.602528930932166,0.22655247741943943,0.0005528286194810088,-8.882340414973105e-7,3.719890575361759e-10
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,17.734748764520855,0.5257899870467745,-0.0007413174870345427,5.105080047546088e-7,-1.39932405863519e-10
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,20.994018110836926,0.4460210326882123,-0.00047982763769362344,2.009605614807638e-7,-1.6545780610124944e-11
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",76-15-3,19.580559465750877,0.41962261387557576,-0.00042869369259198096,1.6969818203650758e-7,-1.1557103039233002e-11
r116~|~perfluoroethane~|~hexafluoroethane,76-16-4,20.994018110836926,0.3620366457822465,-0.0002451103579831575,-5.23811144943654e-8,8.040085351754182e-11
r218~|~perfluoropropane~|~octafluoropropane,76-19-7,13.344712502135948,0.6359566167373049,-0.0007239402601626025,3.7747660286415707e-7,-7.117180001139173e-11
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,16.288032268962194,0.31753764184989036,0.0002023740201258498,-4.302734404894301e-7,1.8000811568301762e-10
isobutylamine~|~2-methylpropylamine~|~2-methyl-1-propanamine,78-81-9,3.1594957948982305,0.44089100925281177,-0.0002025403093782129,1.7210937619577202e-8,3.1594957948982303e-12
2-chlorobutane~|~sec-butyl chloride,78-86-4,36.999358650781915,0.1852877994455449,0.0003616791238896659,-5.998884778997562e-7,2.5068104793732017e-10
"1,2-dichloropropane",78-87-5,14.109643063006045,0.3374175219698947,-0.00018682597502990328,-3.1594957948982304e-9,3.1345524070437713e-11
2-butanol~|~butan-2-ol,78-92-2,32.0938257060715,0.23746936683707462,0.00022681854022322035,-4.273633785730764e-7,1.7601717362630406e-10
butanone~|~2-butanone~|~methyl ethyl ketone,78-93-3,52.78852316265491,0.09197458548201114,0.0004033345816066136,-5.391097561610561e-7,2.0528408204220348e-10
methylacetate~|~methyl ethanoate,79-20-9,35.26995042620604,0.1196284881499888,0.00027753676219395513,-4.099030070749546e-7,1.6055227315653904e-10
"2,3-dimethylbutane",79-29-8,-18.40822023659127,0.6181969245849296,-0.00030738568299312524,2.269848294755834e-8,2.5608544863911974e-11
phenanthrene,85-01-8,19.73853425549579,0.3190425595837761,0.0013694751378360197,-2.229356861805428e-6,9.67803448753037e-10
2-ethylphenol~|~o-ethylphenol,90-00-6,-19.888194582622546,0.6857103610443339,-0.00037215534678853896,-3.6084767762785056e-8,7.399871730156382e-11
1-methylnaphthalene,90-12-0,-46.8686257785298,0.8200138757153631,-0.00041206476735567446,-8.588839884552296e-8,1.0650826613854299e-10
naphthalene,91-20-3,24.020482503844704,0.11894670221530022,0.0013284848371285243,-1.98965090452407e-6,8.458302821447289e-10
2-methylnaphthalene,91-57-6,-38.83685488939378,0.7805783795174622,-0.0003603488098707614,-1.1066549744761961e-7,1.0950147268107815e-10
biphenyl,92-52-4,-7.00909198710318,0.5104414890536636,0.0005281346655050937,-1.1435711885007964e-6,5.129191989138733e-10
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",95-47-6,27.346267551106003,0.2838890116342242,0.00041480854001966507,-6.930104592230724e-7,2.7753676219395507e-10
o-cresol~|~2-methylphenol,95-48-7,25.966066756492566,0.2580144039665313,0.0005115057402687871,-8.983776858914575e-7,3.859573547346733e-10
"1,2,4-trimethylbenzene",95-63-6,44.224626665957075,0.16690452259680813,0.0010005624314685607,-1.4028992775609958e-6,5.559881152759071e-10
"3,4-xylenol~|~3,4-dimethylphenol",95-65-8,11.698448903741607,0.5641030307912247,-0.00011182952221416106,-2.826917290172101e-7,1.6229831030635122e-10
"2,5-xylenol~|~2,5-dimethylphenol",95-87-4,25.00990355540494,0.41993856345506564,0.0002461080934973359,-6.275756384182064e-7,2.78617642334315e-10
"1,2,4,5-tetramethylbenzene",95-93-2,27.870078696049656,0.5601952333606927,4.381721799766757e-5,-4.059952096444226e-7,1.9040119395570914e-10
3-methylpentane,96-14-0,3.600162313660352,0.09264805695408154,6.069557711251865e-5,-1.3402913740463022e-7,5.7369792065257346e-11
3-pentanone~|~pentan-3-one~|~diethylketone,96-22-0,67.10602779111478,0.11352567258826432,0.0005088451122309782,-6.931767484754355e-7,2.7046946896852487e-10
methylcyclopentane,96-37-7,44.72349442304626,-0.06866083230070945,0.0014378200205572395,-1.7997485783254499e-6,6.870240461380021e-10
cyclopentanol,96-41-3,36.33420164132965,0.047583669563690985,0.001110562771906728,-1.5591280301560951e-6,6.4295739426179e-10
cumene~|~isopropylbenzene,98-82-8,24.81867091518742,0.2843213636903681,0.0009925805473551335,-1.6755305068102406e-6,7.418994994178135e-10
ethylbenzene,100-41-4,37.78091813688832,0.08795038557482496,0.001134425279620828,-1.6026958142752181e-6,6.555953774413829e-10
"1,3,5-triethylbenzene",102-25-0,10.966776193344122,0.7299349877102909,0.00011690134441123453,-6.387170183265318e-7,2.989049311226089e-10
propylbenzene~|~n-propylbenzene,103-65-1,39.56852759979126,0.19918126648047899,0.0009860121218867926,-1.4461344831753926e-6,5.873336393463448e-10
butylbenzene~|~n-butylbenzene,104-51-8,53.960862391814516,0.1586399467543638,0.001302460569133705,-1.834087308938423e-6,7.389062928752783e-10
"p-diethylbenzene~|~1,4-diethylbenzene",105-05-5,-2.9848920799170124,0.6266693619928277,3.674992477223731e-5,-4.769175757772698e-7,2.3139149466320463e-10
"2,4-xylenol~|~2,4-dimethylphenol",105-67-9,31.19586374331095,0.34702904075647983,0.0004834028566194293,-9.239030861291879e-7,4.036671601113398e-10
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",106-42-3,34.19738474846427,0.12396032317404664,0.0009819380352038974,-1.3905107282599477e-6,5.600622019588022e-10
p-cresol~|~4-methylphenol,106-44-5,23.95396680289948,0.22787447697572583,0.0006604177657599117,-1.116050317234709e-6,4.858140507786937e-10
"1,2-dibromoethane",106-93-4,31.461926547091853,0.2044276923925337,-6.23584696361493e-5,-7.36661387968377e-8,4.996992033510096e-11
butane~|~n-butane,106-97-8,46.12032414289601,0.04602886505409633,0.0006698962531446064,-8.789218433649789e-7,3.437198846344549e-10
butene~|~1-butene,106-98-9,36.49217643107456,0.06638266954333545,0.0005107574386331535,-6.817859346885657e-7,2.6315274186455e-10
"butadiene~|~1,3-butadiene",106-99-0,29.99026666367873,0.04227904241330922,0.0006861925998761868,-1.028582170491737e-6,4.4241255591193383e-10
butyne~|~1-butyne~|~ethylacetylene,107-00-6,24.90181554136895,0.17294082245758735,0.00012970561684319052,-2.878466958404651e-7,1.2671241030065537e-10
"dichloroethane~|~1,2-dichloroethane",107-06-2,24.860243228278186,0.19287058935330065,-3.3590428977339086e-5,-9.42028614636762e-8,5.130023435400548e-11
propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,107-10-8,34.438504164390714,0.10481211576443973,0.0004548842498391637,-6.255801673898497e-7,2.426160191977115e-10
2-propenol~|~2-propen-1-ol~|~allyl alcohol,107-18-6,2.061986729302003,0.2904906949530378,-0.00014009869511588208,-1.596376822685422e-8,2.6938858882816492e-11
methylformate~|~methyl methanoate,107-31-3,18.932031381534927,0.1497684151407943,9.644776637057757e-5,-2.428654530762561e-7,1.1158008833561646e-10
isohexane~|~2-methylpentane,107-83-5,17.42711364764919,0.3859490402720552,0.00025974381219110717,-5.677946521936846e-7,2.4128570517880703e-10
2-pentanone~|~pentan-2-one~|~methyln-propylketone,107-87-9,65.15212907584878,0.07525420115690495,0.0006703951209016956,-9.018697601910818e-7,3.561084339355032e-10
"2,4-dimethylpentane",108-08-7,-26.0492113826741,0.8141771229574195,-0.0005746956561667519,2.015425738640345e-7,-2.0786156545383094e-11
acetic anhydride~|~ethanoic anhydride,108-24-7,-10.592625375527227,0.4171532184779843,-0.00012130800959885574,-1.622151656801697e-7,1.0343191496982629e-10
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",108-38-3,33.27447939784926,0.14581073093455332,0.000880501591262428,-1.2502457438917024e-6,4.995329140986465e-10
m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,108-39-4,23.912394489808715,0.21735668176376194,0.0007103876860950127,-1.183813187572658e-6,5.14582091437504e-10
