Clapeyron Database File,
Walker Group list [csvtype = groups,grouptype = Walker]
species,groups
ethane,"[""CH3"" => 2]"
propane~|~n-propane,"[""CH3"" => 2, ""CH2"" => 1]"
butane~|~n-butane,"[""CH3"" => 2, ""CH2"" => 2]"
pentane~|~n-pentane,"[""CH3"" => 2, ""CH2"" => 3]"
hexane~|~n-hexane,"[""CH3"" => 2, ""CH2"" => 4]"
heptane~|~n-heptane,"[""CH3"" => 2, ""CH2"" => 5]"
octane~|~n-octane,"[""CH3"" => 2, ""CH2"" => 6]"
nonane~|~n-nonane,"[""CH3"" => 2, ""CH2"" => 7]"
decane~|~n-decane,"[""CH3"" => 2, ""CH2"" => 8]"
pentadecane~|~n-pentadecane,"[""CH3"" => 2, ""CH2"" => 13]"
eicosane~|~n-eicosane,"[""CH3"" => 2, ""CH2"" => 18]"
c25~|~pentacosane~|~n-pentacosane,"[""CH3"" => 2, ""CH2"" => 23]"
triacontane~|~n-triacontane,"[""CH3"" => 2, ""CH2"" => 28]"
methane,"[""CH4""=>1]"
carbon dioxide,"[""CO2""=>1]"
methanol,"[""CH3OH""=>1]"
water,"[""H2O""=>1]"
acetone~|~propanone,"[""CH3COCH3""=>1]"
methylamine~|~methanamine,"[""CH3NH2""=>1]"
hydrogen sulfide,"[""H2S""=>1]"
sulfur dioxide,"[""SO2""=>1]"
ammonia,"[""NH3""=>1]"
oxygen,"[""O2""=>1]"
nitrogen,"[""N2""=>1]"
