Clapeyron Database File,,,,,,,,,,,,,,,,
Joback Ideal Like Parameters [csvtype = like,grouptype = Joback] 
species,T_c,P_c,V_c,T_b,T_m,H_form,G_form,a,b,c,d,H_fusion,H_vap,eta_a,eta_b,
H2O,0.9725540967209461,0.05527786574464416,38.44807453383915,174.95,150.65,-242.0,-43.96,70.17,-0.20808,0.0004016,-2.096e-7,0.908,2.373,548.29,-1.719,
-CH3~|~CH3,0.0141,-0.0012,65.0,23.58,-5.10,-76.45,-43.96,1.95E+1,-8.08E-3,1.53E-4,-9.67E-8,0.908,2.373,548.29,-1.719,
-CH2-~|~CH2,0.0189,0.0000,56.0,22.88,11.27,-20.64,8.42,-9.09E-1,9.50E-2,-5.44E-5,1.19E-8,2.590,2.226,94.16,-0.199,
>CH-~|~>CH,0.0164,0.0020,41.0,21.74,12.64,29.89,58.36,-2.30E+1,2.04E-1,-2.65E-4,1.20E-7,0.749,1.691,-322.15,1.187,
>C<,0.0067,0.0043,27.0,18.25,46.43,82.23,116.02,-6.62E+1,4.27E-1,-6.41E-4,3.01E-7,-1.460,0.636,-573.56,2.307,
=CH2~|~CH2=,0.0113,-0.0028,56.0,18.18,-4.32,-9.630,3.77,2.36E+1,-3.81E-2,1.72E-4,-1.03E-7,-0.473,1.724,495.01,-1.539,
=CH-~|~=CH~|~CH=,0.0129,-0.0006,46.0,24.96,8.73,37.97,48.53,-8.00,1.05E-1,-9.63E-5,3.56E-8,2.691,2.205,82.28,-0.242,
=C<,0.0117,0.0011,38.0,24.14,11.14,83.99,92.36,-2.81E+1,2.08E-1,-3.06E-4,1.46E-7,3.063,2.138,0.0,0.0,
=C=,0.0026,0.0028,36.0,26.15,17.78,142.14,136.70,2.74E+1,-5.57E-2,1.01E-4,-5.02E-8,4.720,2.661,0.0,0.0,
CH,0.0027,-0.0008,46.0,9.20,-11.18,79.30,77.71,2.45E+1,-2.71E-2,1.11E-4,-6.78E-8,2.322,1.155,0.0,0.0,
C,0.0020,0.0016,37.0,27.38,64.32,115.51,109.82,7.87,2.01E-2,-8.33E-6,1.39E-9,4.151,3.302,0.0,0.0,
ring-CH2-~|~CH2_hex~|~CH2_pent~|~cCH2_hex~|~cCH2_pent,0.0100,0.0025,48.0,27.15,7.75,-26.80,-3.68,-6.03,8.54E-2,-8.00E-6,-1.80E-8,0.490,2.398,307.53,-0.798,
ring>CH-~|~CH_hex~|~CH_pent~|~cCH_hex~|~cCH_pent,0.0122,0.0004,38.0,21.78,19.88,8.67,40.99,-2.05E+1,1.62E-1,-1.60E-4,6.24E-8,3.243,1.942,-394.29,1.251,
ring>C<,0.0042,0.0061,27.0,21.32,60.15,79.72,87.88,-9.09E+1,5.57E-1,-9.00E-4,4.69E-7,-1.373,0.644,0.0,0.0,
